OBJECTID,ID,CDMUN,NMMUN,SGUF,ISH,TPMAN,CSMAN,TPSIS,TPOPE,SHAPE_Length,SHAPE_Area
1,1,1100015,Alta Floresta D'Oeste,RO,Alta,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,5.80735039954934,0.587648280376932
2,2,1100023,Ariquemes,RO,Média,Preponderantemente Superficial,Manancial Não Vulnerável,Sistema Isolado,Concessionária Privada,3.98688278149898,0.364965047818116
3,3,1100031,Cabixi,RO,Alta,Exclusivamente Superficial,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,1.74522731806621,0.109723943444711
4,4,1100049,Cacoal,RO,Alta,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,2.96664814487464,0.314085212070915
5,5,1100056,Cerejeiras,RO,Baixa,Exclusivamente Superficial,Manancial com Média Vulnerabilidade,Sistema Isolado,Companhia Estadual,3.48590033915583,0.23208946136402
6,6,1100064,Colorado do Oeste,RO,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.63792906073717,0.120978671266946
7,7,1100072,Corumbiara,RO,Alta,Exclusivamente Superficial,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,3.14319859995195,0.254917375605949
8,8,1100080,Costa Marques,RO,Baixa,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,5.07744962972136,0.4141974215637
9,9,1100098,Espigão D'Oeste,RO,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,3.07556637872844,0.374186857767301
10,10,1100106,Guajará-Mirim,RO,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,9.14668441632196,2.05825117420386
11,11,1100114,Jaru,RO,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,3.93738073852117,0.243220468182958
12,12,1100122,Ji-Paraná,RO,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,4.86824955302811,0.569522776692768
13,13,1100130,Machadinho D'Oeste,RO,Baixa,Preponderantemente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,5.80146020929272,0.70008507538048
14,14,1100148,Nova Brasilândia D'Oeste,RO,Alta,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,2.57387499229207,0.141183962684558
15,15,1100155,Ouro Preto do Oeste,RO,Alta,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,2.75056439847149,0.16274196902607
16,16,1100189,Pimenta Bueno,RO,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Concessionária Privada,5.04446396657178,0.517831059700628
17,17,1100205,Porto Velho,RO,Baixa,Preponderantemente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,18.5154643882061,2.8044853879345
18,18,1100254,Presidente Médici,RO,Alta,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,2.47328555723404,0.14554378316224
19,19,1100262,Rio Crespo,RO,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.88813917226788,0.141495657441896
20,20,1100288,Rolim de Moura,RO,Média,Exclusivamente Superficial,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Concessionária Privada,1.78080884671665,0.120900572252432
21,21,1100296,Santa Luzia D'Oeste,RO,Alta,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.79146445366096,0.0994362482159261
22,22,1100304,Vilhena,RO,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,8.67755854251583,0.971503630429181
23,23,1100320,São Miguel do Guaporé,RO,Baixa,Exclusivamente Superficial,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,6.37679364409476,0.618417910228225
24,24,1100338,Nova Mamoré,RO,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,5.79920650205235,0.831498278608131
25,25,1100346,Alvorada D'Oeste,RO,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,3.99103282976261,0.250841562949748
26,26,1100379,Alto Alegre dos Parecis,RO,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,4.22499445626544,0.329295765610484
27,27,1100403,Alto Paraíso,RO,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,3.62342191506221,0.218449901728454
28,28,1100452,Buritis,RO,Baixa,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Concessionária Privada,3.07435152451015,0.269345044774904
29,29,1100502,Novo Horizonte do Oeste,RO,Alta,Exclusivamente Superficial,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,1.39609996553796,0.0699332012712569
30,30,1100601,Cacaulândia,RO,Baixa,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.75486089867208,0.161933525010973
31,31,1100700,Campo Novo de Rondônia,RO,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,3.49242726679414,0.284256437813795
32,32,1100809,Candeias do Jamari,RO,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,6.6778655602117,0.562583237320656
33,33,1100908,Castanheiras,RO,Alta,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.47619631883165,0.073974266551306
34,34,1100924,Chupinguaia,RO,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,4.25631112647575,0.426431330224291
35,35,1100940,Cujubim,RO,Média,Preponderantemente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,3.61440933811353,0.317866029483358
