X,Y,OBJECTID,ETE_CD,ETE_NM,ETE_ACH_CD,ETE_AA_OPERACAO,ETE_DS_STATUS,ETE_DS_INTEGRADO,ETE_DS_TOTAL,ETE_DS_TIPOLOGIA,ETE_NM_CORPORECEPTOR,ETE_QT_POPPROJ,ETE_PC_REMOCAODBO,ETE_PC_REMOCAOP,ETE_PC_REMOCAON,ETE_MUN_CD_IBGE,ETE_NM_REGIAOMETROP,ETE_DS_TIPOLOGRESUMIDA
-54.302599423,-22.4865209383326,1,5005103_ETE_2,ETE Jateí II,8638287,0,Ativa,Não,Sim,"Reator Anaeróbio (RAFA, RALF, UASB, DAFA)", ,0,0.64999998,0,0,5005103, ,RAN
-56.435542,-14.3993469995449,2,5103502_ETE_1,ETE COHAB Morumbi,89999466,0,Ativa,Não,Sim,Lagoa Facultativa, ,0,0.75,0,0,5103502, ,LAG
-47.342633,-2.97428099990211,3,1505502_ETE_2,ETE Morada dos Ventos,714263,0,Ativa,Não,Sim,Reator Anaeróbio + Lodos Ativados, ,0,0.85000002,0,0,1505502, ,RAN
-32.42846415,-3.84761852687349,4,2605459_ETE_1,ETE Boldró,0,0,Ativa,Não,Sim,Lagoa Facultativa, ,0,0.77999997,0,0,2605459, ,LAG
-45.558483805,-20.1225766213898,5,3135308_ETE_2,ETE Capoeirão,7699582,0,Ativa,Não,Sim,Lagoa Facultativa,Córrego Gotano,0,0.77999997,0,0,3135308, ,LAG
-50.391954,-20.0147799993925,6,3534757_ETE_1,ETE Ouroeste,8681414,0,Ativa,Não,Sim,Lagoa Facultativa, ,0,0.87,0,0,3534757, ,LAG
-51.358901902,-22.0496443233428,7,3541406_ETE_5,ETE Montalvão,86534643,0,Ativa,Não,Sim,Lagoa Facultativa, ,0,0.89999998,0,0,3541406, ,LAG
-67.830194,-9.94736099967852,8,1200401_ETE_2,ETE Conquista,4926581,0,Ativa,Não,Sim,Lodos Ativados de Aeração Prolongada, ,0,0.86000001,0,0,1200401, ,LAT
-67.785528,-9.963666999678,9,1200401_ETE_4,ETE São Francisco - Rio Branco,4926591,0,Ativa,Não,Sim,Reator Rotativo Aerado com Leito Fixo (BIODRUM) + Decantador, ,0,0.95999998,0,0,1200401, ,MIS
-67.767992,-10.0336559996758,10,1200401_ETE_1,ETE Cidade do Povo,4926592,0,Ativa,Não,Sim,Reator Anaeróbio + Filtro Aeróbio (FBAS/FBP/BAS/FAE/FBN/Filtro Russo), ,0,0.70999998,0,0,1200401, ,RAN
