ibge;municipio;Masculino;Feminino;Total;perc_masc;perc_feminino
421310;PIRATUBA;1575;2062;3637;0,433049216;0,566950784
260960;OLINDA;180068;213666;393734;0,457334139;0,542665861
354850;SANTOS;198613;235378;433991;0,457643131;0,542356869
261160;RECIFE;760645;900372;1661017;0,457939323;0,542060677
354880;SAO CAETANO DO SUL;74748;88015;162763;0,459244423;0,540755577
292740;SALVADOR;1332518;1567801;2900319;0,459438427;0,540561573
221130;VALENCA DO PIAUI;9641;11299;20940;0,460410697;0,539589303
221100;TERESINA;401387;469739;871126;0,460768017;0,539231983
270430;MACEIO;475359;556238;1031597;0,46079913;0,53920087
280030;ARACAJU;310261;362353;672614;0,461276453;0,538723547
353286;NOVA CASTILHO;597;693;1290;0,462790698;0,537209302
310960;CACHOEIRA DA PRATA;1661;1919;3580;0,46396648;0,53603352
330330;NITEROI;239910;277071;516981;0,464059608;0,535940392
250750;JOAO PESSOA;383251;442545;825796;0,464098882;0,535901118
211130;SAO LUIS;517943;597989;1115932;0,464134911;0,535865089
221140;VARZEA GRANDE;2034;2348;4382;0,464171611;0,535828389
431490;PORTO ALEGRE;692932;799598;1492530;0,464266715;0,535733285
261070;PAULISTA;156870;180049;336919;0,465601524;0,534398476
291480;ITABUNA;99754;114369;214123;0,465872419;0,534127581
431843;SAO JOAO DO POLESINE;1181;1354;2535;0,465877712;0,534122288
230440;FORTALEZA;1259714;1443677;2703391;0,46597551;0,53402449
290980;CRUZ DAS ALMAS;29795;34128;63923;0,466107661;0,533892339
292870;SANTO ANTONIO DE JESUS;48141;55063;103204;0,466464478;0,533535522
150140;BELEM;703310;803110;1506420;0,466875108;0,533124892
330320;NILOPOLIS;76094;86799;162893;0,467141007;0,532858993
220117;BARRA D'ALCANTARA;1847;2106;3953;0,467240071;0,532759929
171320;MIRACEMA DO TOCANTINS;8239;9389;17628;0,467381439;0,532618561
310620;BELO HORIZONTE;1182944;1347757;2530701;0,467437283;0,532562717
351800;GUARANI D'OESTE;934;1062;1996;0,467935872;0,532064128
260790;JABOATAO DOS GUARARAPES;332868;378462;711330;0,467951584;0,532048416
290070;ALAGOINHAS;71634;81389;153023;0,468125707;0,531874293
316480;SAO SEBASTIAO DO RIO PRETO;692;786;1478;0,468200271;0,531799729
