"","cod_municipio_ibge","total","total_abertas","media_tempo_horas","dias"
"1",1100015,1567,233,47.9414814814815,1.99756172839506
"2",1100023,9231,1659,98.5916666666667,4.10798611111111
"3",1100031,384,58,32.90625,1.37109375
"4",1100049,8615,1624,115.976551724138,4.83235632183908
"5",1100056,1618,316,44.7571875,1.8648828125
"6",1100064,1452,203,39.4686363636364,1.64452651515152
"7",1100072,437,95,73.586,3.06608333333333
"8",1100080,717,121,23.16375,0.96515625
"9",1100098,2279,405,64.714375,2.69643229166667
"10",1100106,2502,352,50.7619512195122,2.11508130081301
"11",1100114,4110,733,48.6607692307692,2.02753205128205
"12",1100122,13825,2665,171.982537313433,7.16593905472637
"13",1100130,1818,327,45.935,1.91395833333333
"14",1100148,874,154,53.6926315789474,2.23719298245614
"15",1100155,3279,563,46.1032352941176,1.9209681372549
"16",1100189,3601,675,82.3302857142857,3.43042857142857
"17",1100205,42799,9407,251.293235294118,10.4705514705882
"18",1100254,1325,214,41.24,1.71833333333333
"19",1100262,153,28,63.8383333333333,2.65993055555556
"20",1100288,5066,935,89.9625,3.7484375
"21",1100296,338,43,29.339,1.22245833333333
"22",1100304,11055,1942,124.145901639344,5.17274590163934
"23",1100320,1324,259,41.1516666666667,1.71465277777778
"24",1100338,1161,222,53.1074193548387,2.21280913978495
"25",1100346,831,138,59.988125,2.49950520833333
"26",1100379,450,78,63.367,2.64029166666667
"27",1100403,899,157,40.1452941176471,1.67272058823529
"28",1100452,1932,349,30.0946153846154,1.25394230769231
"29",1100502,341,44,48.06,2.0025
"30",1100601,160,24,75.4633333333333,3.14430555555556
"31",1100700,318,48,63.83,2.65958333333333
"32",1100809,1292,253,83.6193548387097,3.48413978494624
"33",1100908,106,27,21.8675,0.911145833333333
"34",1100924,651,117,26.4492857142857,1.10205357142857
"35",1100940,1099,213,35.4096296296296,1.4754012345679
"36",1101005,260,35,48.6366666666667,2.02652777777778
"37",1101104,490,75,21.8308333333333,0.909618055555556
"38",1101203,312,37,21.2,0.883333333333333
"39",1101302,539,93,21.1871428571429,0.882797619047619
"40",1101401,536,84,47.6255555555556,1.98439814814815
"41",1101435,289,40,47.91,1.99625
"42",1101450,180,41,24.354,1.01475
"43",1101468,147,24,42.765,1.781875
"44",1101476,146,19,37.806,1.57525
"45",1101484,219,40,37.9228571428571,1.58011904761905
"46",1101492,977,167,56.4986363636364,2.35410984848485
"47",1101500,574,107,26.069375,1.08622395833333
"48",1101559,198,29,23.56125,0.98171875
"49",1101609,261,47,32.112,1.338
"50",1101708,558,133,23.3483333333333,0.972847222222222
"51",1101757,321,63,57.2528571428571,2.38553571428571
"52",1101807,237,26,119.05,4.96041666666667
"53",1200013,596,113,62.809,2.61704166666667
"54",1200054,305,60,110.319,4.596625
"55",1200104,1514,261,142.335294117647,5.93063725490196
"56",1200138,289,58,27.7842857142857,1.15767857142857
"57",1200179,267,54,59.3836363636364,2.47431818181818
"58",1200203,4995,791,83.9742105263158,3.49892543859649
"59",1200252,956,164,55.8156666666667,2.32565277777778
"60",1200302,1004,119,25.4384210526316,1.05993421052632
"61",1200328,164,33,32.8722222222222,1.36967592592593
"62",1200336,386,71,40.846875,1.701953125
"63",1200344,329,52,70.72,2.94666666666667
"64",1200351,283,70,40.59,1.69125
"65",1200385,539,90,62.4418181818182,2.60174242424242
"66",1200393,194,39,35.706,1.48775
"67",1200401,25936,5113,348.806222222222,14.5335925925926
"68",1200427,224,47,61.46,2.56083333333333
"69",1200435,94,10,42.1825,1.75760416666667
"70",1200450,790,146,66.1923076923077,2.75801282051282
"71",1200500,1349,187,60.3573076923077,2.51488782051282
"72",1200609,1120,180,62.9486206896552,2.6228591954023
"73",1200708,528,69,79.1546153846154,3.29810897435897
"74",1200807,441,94,61.266875,2.55278645833333
"75",1300029,196,37,26.4309090909091,1.10128787878788
"76",1300060,196,17,41.0025,1.7084375
"77",1300086,131,17,29.516,1.22983333333333
"78",1300102,276,38,33.0027272727273,1.37511363636364
"79",1300144,834,141,30.1107407407407,1.25461419753086
"80",1300201,181,21,37.6166666666667,1.56736111111111
"81",1300300,770,115,54.3569230769231,2.26487179487179
"82",1300409,606,74,36.1325,1.50552083333333
"83",1300508,633,81,37.0533333333333,1.54388888888889
"84",1300607,731,94,28.8061538461538,1.20025641025641
"85",1300631,283,26,17.9066666666667,0.746111111111111
"86",1300680,393,63,18.66375,0.77765625
"87",1300706,1353,162,39.2447619047619,1.63519841269841
