"","cod_municipio_ibge","qtd_abertas","qtd_abertas_Consórcio de Sociedades","qtd_abertas_Cooperativa","qtd_abertas_EIRELI","qtd_abertas_Empresa Pública","qtd_abertas_Empresário Individual","qtd_abertas_Estabelecimento, no Brasil, de Sociedade Estrangeira e Empresas Binacionais","qtd_abertas_Grupo de Sociedades","qtd_abertas_Sociedade Anônima","qtd_abertas_Sociedade de Economia Mista","qtd_abertas_Sociedade em Comandita por Ações","qtd_abertas_Sociedade em Comandita Simples","qtd_abertas_Sociedade em Conta de Participação","qtd_abertas_Sociedade em Nome Coletivo","qtd_abertas_Sociedade Limitada"
"1","110001",197,0,0,0,0,167,0,0,0,0,0,0,0,0,30
"2","110002",1294,0,4,13,0,1058,0,0,13,0,0,0,0,0,206
"3","110003",59,0,0,1,0,50,0,0,0,0,0,0,0,0,8
"4","110004",1270,0,3,13,0,987,0,0,7,0,0,0,1,0,259
"5","110005",213,0,0,0,0,181,0,0,1,0,0,0,0,0,31
"6","110006",205,0,0,6,0,173,0,0,1,0,0,0,0,0,25
"7","110007",77,0,0,0,0,69,0,0,0,0,0,0,0,0,8
"8","110008",115,0,1,4,0,92,0,0,0,0,0,0,0,0,18
"9","110009",285,0,0,0,0,242,0,0,1,0,0,0,0,0,42
"10","110010",358,0,1,5,0,287,0,0,1,0,0,0,1,0,63
"11","110011",556,0,2,7,1,446,0,0,2,0,0,0,0,0,98
"12","110012",2025,0,3,13,0,1622,0,0,8,0,0,0,1,0,378
"13","110013",220,0,1,3,0,179,0,0,1,0,0,0,0,0,36
"14","110014",115,0,0,2,0,97,0,0,0,0,0,0,0,0,16
"15","110015",468,0,0,4,0,389,0,0,1,0,0,0,0,0,74
"16","110018",519,0,0,0,0,436,0,0,2,0,0,0,0,0,81
"17","110020",6350,0,11,56,0,5110,0,0,26,0,0,0,6,0,1141
"18","110025",175,0,0,0,0,145,0,0,0,0,0,0,0,0,30
"19","110026",21,0,0,0,0,17,0,0,0,0,0,0,0,0,4
"20","110028",709,0,1,7,1,568,0,0,2,0,0,0,0,0,130
"21","110029",60,0,0,1,0,52,0,0,0,0,0,0,0,0,7
"22","110030",1482,0,1,16,0,1137,0,0,5,0,0,0,2,0,321
"23","110032",188,0,0,3,0,150,0,0,0,0,0,0,0,0,35
"24","110033",182,0,0,0,0,159,0,0,0,0,0,0,0,0,23
"25","110034",98,0,0,0,0,88,0,0,0,0,0,0,0,0,10
"26","110037",66,0,0,2,0,54,0,0,1,0,0,0,0,0,9
"27","110040",93,0,0,0,0,81,0,0,0,0,0,0,0,0,12
"28","110045",275,0,1,2,0,214,0,0,1,0,0,0,0,0,57
"29","110050",50,0,0,1,0,39,0,0,0,0,0,0,0,0,10
"30","110060",26,0,0,0,0,22,0,0,0,0,0,0,0,0,4
"31","110070",60,0,0,1,0,52,0,0,0,0,0,0,0,0,7
"32","110080",193,0,1,5,0,147,0,0,0,0,0,0,0,0,40
"33","110090",8,0,0,0,0,8,0,0,0,0,0,0,0,0,0
"34","110092",105,0,0,0,0,91,0,0,0,0,0,0,0,0,14
"35","110094",145,0,1,1,0,125,0,0,1,0,0,0,0,0,17
"36","110100",32,0,1,0,0,24,0,0,0,0,0,0,0,0,7
"37","110110",57,0,0,0,0,46,0,0,0,0,0,0,0,0,11
"38","110120",50,0,2,1,0,42,0,0,0,0,0,0,0,0,5
"39","110130",59,0,0,0,0,50,0,0,0,0,0,0,0,0,9
"40","110140",75,0,0,0,0,54,0,0,0,0,0,0,0,0,21
"41","110143",42,0,0,0,0,37,0,0,0,0,0,0,0,0,5
"42","110145",27,0,0,0,0,23,0,0,0,0,0,0,0,0,4
"43","110146",24,0,0,0,0,18,0,0,0,0,0,0,0,0,6
"44","110147",22,0,0,0,0,14,0,0,0,0,0,0,0,0,8
"45","110148",30,0,0,0,0,24,0,0,0,0,0,0,0,0,6
"46","110149",187,0,0,3,0,162,0,0,0,0,0,0,0,0,22
"47","110150",81,0,0,1,0,65,0,0,0,0,0,0,0,0,15
"48","110155",35,0,0,0,0,30,0,0,0,0,0,0,0,0,5
"49","110160",52,0,2,0,0,43,0,0,0,0,0,0,0,0,7
"50","110170",73,0,0,2,0,57,0,0,0,0,0,0,0,0,14
"51","110175",49,0,0,1,0,40,0,0,0,0,0,0,0,0,8
"52","110180",46,0,0,0,0,44,0,0,0,0,0,0,0,0,2
"53","120001",89,0,0,0,0,77,0,0,0,0,0,0,0,0,12
"54","120005",35,4,0,0,0,29,0,0,0,0,0,0,0,0,2
"55","120010",267,0,0,1,0,228,0,0,0,0,0,0,0,0,38
"56","120013",51,0,0,1,0,41,0,0,0,0,0,0,0,0,9
"57","120017",32,0,0,0,0,30,0,0,0,0,0,0,0,0,2
"58","120020",729,0,2,5,1,616,0,0,3,0,0,0,0,0,102
"59","120025",141,0,0,0,0,111,0,0,1,0,0,0,0,0,29
"60","120030",122,0,0,0,0,114,0,0,0,0,0,0,0,0,8
"61","120032",29,0,0,0,0,28,0,0,0,0,0,0,0,0,1
"62","120033",72,0,2,0,0,65,0,0,0,0,0,0,0,0,5
"63","120034",24,0,1,0,0,23,0,0,0,0,0,0,0,0,0
"64","120035",43,0,0,1,0,39,0,0,0,0,0,0,0,0,3
"65","120038",59,0,0,2,0,52,0,0,0,0,0,0,0,0,5
"66","120039",134,0,0,0,0,131,0,0,0,0,0,0,0,0,3
"67","120040",3860,2,4,21,0,3195,0,0,13,0,0,0,0,0,625
"68","120042",38,0,0,1,0,36,0,0,0,0,0,0,0,0,1
"69","120043",8,0,0,0,0,8,0,0,0,0,0,0,0,0,0
"70","120045",124,0,0,0,0,105,0,0,0,0,0,0,0,0,19
"71","120050",168,0,0,0,0,146,0,0,1,0,0,0,0,0,21
"72","120060",111,0,0,0,0,91,0,0,0,0,0,0,0,0,20
"73","120070",70,0,1,0,0,58,0,0,0,0,0,0,0,0,11
"74","120080",43,0,0,2,0,33,0,0,0,0,0,0,0,0,8
"75","130002",26,0,1,0,0,25,0,0,0,0,0,0,0,0,0
"76","130006",53,0,0,0,0,52,0,0,1,0,0,0,0,0,0
"77","130008",7,0,0,0,0,6,0,0,0,0,0,0,0,0,1
"78","130010",23,0,0,0,0,20,0,0,0,0,0,0,0,0,3
"79","130014",98,0,0,2,0,74,0,0,0,0,0,0,0,0,22
"80","130020",26,0,0,1,0,22,0,0,2,1,0,0,0,0,0
"81","130030",109,0,0,0,0,89,0,0,0,0,0,0,0,0,20
"82","130040",104,0,0,1,0,89,0,0,0,0,0,0,0,0,14
"83","130050",78,0,0,1,0,67,0,0,0,0,0,0,0,0,10
"84","130060",120,0,0,0,0,116,0,0,1,0,0,0,0,0,3
"85","130063",40,0,0,0,0,38,0,0,0,0,0,0,0,0,2
"86","130068",41,0,0,0,0,38,0,0,0,0,0,0,0,0,3
"87","130070",178,0,0,4,0,159,0,0,0,0,0,0,0,0,15
"88","130080",63,0,1,0,0,56,0,0,0,0,0,0,0,0,6
"89","130083",29,0,0,0,0,27,0,0,0,0,0,0,0,0,2
"90","130090",19,0,0,0,0,12,0,0,0,0,0,0,0,0,7
"91","130100",56,0,0,0,0,47,0,0,0,0,0,0,0,0,9
"92","130110",95,0,0,0,1,81,0,0,0,0,0,0,0,0,13
"93","130115",32,0,1,0,0,29,0,0,0,0,0,0,0,0,2
"94","130120",189,0,1,0,0,143,0,0,1,0,0,0,0,0,44
"95","130130",74,0,1,0,0,69,0,0,0,0,0,0,0,0,4
"96","130140",51,0,0,2,0,36,0,0,0,0,0,0,0,0,13
"97","130150",47,0,0,0,0,45,0,0,1,0,0,0,0,0,1
"98","130160",49,0,0,0,0,42,0,0,0,0,0,0,0,0,7
"99","130165",17,0,0,1,0,13,0,0,0,0,0,0,0,0,3
"100","130170",416,0,1,2,0,341,0,0,1,0,0,0,1,0,70
"101","130180",20,0,0,0,0,15,0,0,1,0,0,0,0,0,4
"102","130185",260,0,0,1,0,209,0,0,0,0,0,0,0,0,50
"103","130190",388,0,1,3,1,325,0,0,1,0,0,0,0,0,57
"104","130195",21,0,0,0,0,16,0,0,0,0,0,0,0,0,5
"105","130200",47,0,0,0,0,40,0,0,0,0,0,0,0,0,7
"106","130210",13,0,0,0,0,13,0,0,0,0,0,0,0,0,0
"107","130220",25,0,0,0,0,22,0,0,0,0,0,0,0,0,3
"108","130230",39,0,0,0,0,29,0,0,0,0,0,0,0,0,10
"109","130240",95,0,0,1,0,81,0,0,0,0,0,0,0,0,13
"110","130250",369,0,2,5,1,283,0,0,2,0,0,0,0,0,76
"111","130255",89,0,0,0,0,82,0,0,0,0,0,0,0,0,7
"112","130260",24663,6,15,100,1,20899,0,0,107,0,0,1,20,0,3514
"113","130270",226,0,0,1,0,196,0,0,0,0,0,0,0,0,29
"114","130280",24,0,0,0,0,22,0,0,0,0,0,0,0,0,2
"115","130290",297,0,2,0,0,268,0,0,0,0,0,0,0,0,27
"116","130300",36,0,0,0,0,34,0,0,0,0,0,0,0,0,2
"117","130310",139,0,0,0,0,131,0,0,0,0,0,0,0,0,8
"118","130320",147,0,0,0,0,140,0,0,0,0,0,0,0,0,7
"119","130330",56,0,0,0,0,44,0,0,0,0,0,0,0,0,12
"120","130340",497,0,0,3,0,413,0,0,0,0,0,0,0,0,81
"121","130350",51,0,0,0,0,50,0,0,0,0,0,0,0,0,1
"122","130353",383,0,1,1,0,351,0,0,4,0,0,0,0,0,26
"123","130356",138,0,2,0,0,114,0,0,0,0,0,0,0,0,22
"124","130360",34,0,0,0,0,31,0,0,0,0,0,0,0,0,3
"125","130370",43,0,1,0,0,38,0,0,0,0,0,0,0,0,4
"126","130380",125,0,1,0,0,107,0,0,0,0,0,0,0,0,17
"127","130390",34,0,0,0,0,30,0,0,0,0,0,0,0,0,4
"128","130395",49,0,0,0,0,43,0,0,0,0,0,0,0,0,6
"129","130400",14,0,0,0,0,9,0,0,4,0,0,0,0,0,1
"130","130406",256,0,0,0,0,231,0,0,2,0,0,0,0,0,23
"131","130410",24,0,0,0,0,23,0,0,0,0,0,0,0,0,1
"132","130420",336,0,1,5,1,290,0,0,0,0,0,0,0,0,39
"133","130423",32,0,0,0,0,30,0,0,0,0,0,0,0,0,2
"134","130426",18,0,0,0,0,15,0,0,0,0,0,0,0,0,3
"135","130430",46,0,0,0,0,43,0,0,0,0,0,0,0,0,3
"136","130440",31,0,0,1,0,30,0,0,0,0,0,0,0,0,0
"137","140002",22,0,0,0,0,20,0,0,0,0,0,0,0,0,2
"138","140005",42,0,0,0,0,37,0,0,0,0,0,0,0,0,5
"139","140010",4145,3,7,16,0,3532,0,0,25,0,0,0,2,0,560
"140","140015",59,0,0,1,0,46,0,0,0,0,0,0,0,0,12
"141","140017",50,0,0,0,0,44,0,0,0,0,0,0,0,0,6
"142","140020",74,0,0,0,0,68,0,0,1,0,0,0,0,0,5
"143","140023",58,0,0,0,0,55,0,0,0,0,0,0,0,0,3
"144","140028",25,0,0,0,0,24,0,0,0,0,0,0,0,0,1
"145","140030",63,0,0,0,0,61,0,0,0,0,0,0,0,0,2
"146","140040",19,0,0,0,0,18,0,0,0,0,0,0,0,0,1
"147","140045",133,0,0,2,0,104,0,0,0,0,0,0,0,0,27
"148","140047",211,0,4,0,0,186,0,0,1,0,0,0,0,0,20
"149","140050",38,0,0,0,0,35,0,0,0,0,0,0,0,0,3
"150","140060",30,0,0,0,0,30,0,0,0,0,0,0,0,0,0
"151","140070",8,0,0,0,0,8,0,0,0,0,0,0,0,0,0
"152","150010",626,0,2,4,1,528,0,0,7,0,0,0,0,0,84
"153","150013",33,0,0,0,0,26,0,0,0,0,0,0,0,0,7
"154","150020",135,0,1,1,0,101,0,0,0,0,0,0,0,0,32
"155","150030",66,0,0,3,0,56,0,0,0,0,0,0,0,0,7
"156","150034",66,0,0,2,0,49,0,0,0,0,0,0,0,0,15
"157","150040",183,0,0,4,0,143,0,0,0,0,0,0,0,0,36
"158","150050",143,0,0,1,0,117,0,0,1,0,0,0,0,0,24
"159","150060",1313,0,5,5,0,1085,0,0,2,0,0,0,0,0,216
"160","150070",52,0,0,0,0,41,0,0,0,0,0,0,0,0,11
"161","150080",5987,1,4,30,0,5266,0,0,22,0,0,0,1,0,663
"162","150085",169,0,0,4,0,116,0,0,1,0,0,0,0,0,48
"163","150090",125,0,1,0,0,115,0,0,0,0,0,0,0,0,9
"164","150095",57,0,1,0,0,41,0,0,1,0,0,0,0,0,14
"165","150100",22,0,0,0,0,15,0,0,0,0,0,0,0,0,7
