ibge;municipio;De 0 a 4 anos;De 5 a 9 anos;De 10 a 14 anos;De 15 a 19 anos;De 20 a 24 anos;De 25 a 29 anos;De 30 a 34 anos;De 35 a 39 anos;De 40 a 44 anos;De 45 a 49 anos;De 50 a 54 anos;De 55 a 59 anos;De 60 a 64 anos;De 65 a 69 anos;De 70 a 74 anos;De 75 a 79 anos;De 80 anos ou mais;Total;pop_20_59_anos;perc_20_59_anos;pop_idosa;perc_idosa
432235;UNIAO DA SERRA;37;42;41;32;42;50;60;73;62;57;72;90;103;100;85;59;79;1084;506;0,466789668;426;0,39298893
430583;COQUEIRO BAIXO;41;45;38;44;71;96;82;94;89;95;119;129;113;125;119;80;110;1490;775;0,520134228;547;0,367114094
430593;CORONEL PILAR;55;60;55;77;82;86;90;95;80;101;130;135;146;119;103;76;112;1602;799;0,498751561;556;0,347066167
430925;GUABIJU;51;57;55;49;72;102;108;89;79;88;103;117;139;133;90;64;82;1478;758;0,51285521;508;0,343707713
431725;SANTA TEREZA;60;62;60;72;82;96;106;117;106;101;125;144;146;115;111;77;142;1722;877;0,509291521;591;0,343205575
431500;PORTO LUCENA;143;162;144;160;195;279;252;250;267;300;389;439;384;372;309;223;246;4514;2371;0,525254763;1534;0,339831635
431507;PORTO VERA CRUZ;47;52;38;40;48;75;58;50;72;96;129;126;120;99;84;60;64;1258;654;0,519872814;427;0,339427663
431545;RELVADO;88;96;85;79;89;120;136;146;121;130;125;152;174;152;125;98;152;2068;1019;0,492746615;701;0,338974855
430045;ALEGRIA;132;140;113;121;153;200;169;172;195;222;251;318;288;254;209;160;190;3287;1680;0,51110435;1101;0,334955887
431235;MONTAURI;52;57;51;52;71;82;96;98;78;89;111;115;117;114;100;63;84;1430;740;0,517482517;478;0,334265734
430030;ALECRIM;230;251;204;175;250;370;332;284;336;386;448;536;530;442;375;268;293;5710;2942;0,515236427;1908;0,334150613
432285;VESPASIANO CORREA;72;80;75;76;71;92;94;105;125;116;135;145;141;130;118;85;116;1776;883;0,497184685;590;0,332207207
431505;PORTO MAUA;84;98;92;90;108;142;154;132;128;139;183;211;200;169;144;111;147;2332;1197;0,51329331;771;0,330617496
430843;FORQUETINHA;78;81;75;85;117;137;147;155;178;164;182;203;203;198;157;97;132;2389;1283;0,537044789;787;0,329426538
432163;TRES ARROIOS;88;98;92;93;91;156;136;144;155;195;243;271;216;199;166;116;161;2620;1391;0,530916031;858;0,327480916
431843;SAO JOAO DO POLESINE;96;100;101;122;134;168;184;177;128;128;168;202;195;187;139;105;201;2535;1289;0,508481262;827;0,326232742
431970;SAO VALENTIM;123;132;117;135;166;216;210;195;170;210;232;270;256;239;222;132;195;3220;1669;0,518322981;1044;0,324223602
432230;TUPARENDI;265;294;280;276;369;471;484;461;455;498;654;721;624;554;480;377;467;7730;4113;0,532082794;2502;0,323673997
