sig_uf (municipio_ibge.csv);ano_deferimento;Municipio-UF;Nom Municipio;nom_nj_agrupada;sig_uf;Idt Capital;mes_deferimento;Nom Regiao;qtd_empresas;qtd_horas_viabilidade_soma;Tempo Médio Viabilidade;vlr_horas_viabilidade_soma;vlr_qtd_empresas;cod_municipio_ibge;cod_municipio_ibge (municipio_ibge.csv);cod_nj_agrupada;cod_nj_agrupada (natureza_juridica_agrupada.csv);Número de registros;opcao_mei;qtd_horas_abertura_media;qtd_horas_abertura_soma;qtd_horas_registro_media;qtd_horas_registro_soma;qtd_horas_viabilidade_media;Soma Tempos;Tempo Médio de Abertura;Tempo Médio Registro;tip_porte;vlr_horas_abertura_media;vlr_horas_abertura_soma;vlr_horas_registro_media;vlr_horas_registro_soma;vlr_horas_viabilidade_media;vlr_latitude;vlr_longitude
MG;2023;Iguatama - MG;Iguatama;Sociedade Limitada;MG;Não;Março;Sudeste;1;18.93;19;18,93;1;3130309;3130309;18;18;1;Não;37.3;37.3;18.37;18.37;18.93;37;1 Dia(s) 13 Hora(s);18;3;37,3;37,3;18,37;18,37;18,93;-20.13467025756836;-45.75038146972656
MG;2023;Prudente de Morais - MG;Prudente de Morais;Empresário Individual;MG;Não;Março;Sudeste;1;16.78;17;16,78;1;3153608;3153608;14;14;1;Não;16.82;16.82;0.04;0.04;16.78;17;0 Dia(s) 17 Hora(s);0;1;16,82;16,82;0,04;0,04;16,78;-19.46954917907715;-44.12535858154297
SP;2023;Conchas - SP;Conchas;Sociedade Limitada;SP;Não;Março;Sudeste;5;81.09;16;81,09;5;3512308;3512308;18;18;1;Não;63.55800000000001;317.79;47.34;236.7;16.218;64;2 Dia(s) 16 Hora(s);47;1;63,558;317,79;47,34;236,7;16,218;-22.96272087097168;-48.0352783203125
GO;2023;Alexânia - GO;Alexânia;Empresário Individual;GO;Não;Março;Centro-Oeste;1;44.56;45;44,56;1;5200308;5200308;14;14;1;Não;44.58000000000001;44.58000000000001;0.02;0.02;44.56;45;1 Dia(s) 21 Hora(s);0;1;44,58;44,58;0,02;0,02;44,56;-16.12042045593262;-48.48685073852539
GO;2023;Alto Horizonte - GO;Alto Horizonte;Empresário Individual;GO;Não;Março;Centro-Oeste;1;49.09;49;49,09;1;5200555;5200555;14;14;1;Não;49.09;49.09;0;0;49.09;49;2 Dia(s) 1 Hora(s);0;1;49,09;49,09;0;0;49,09;-14.17951965332031;-49.41347122192383
GO;2023;Caldazinha - GO;Caldazinha;Empresário Individual;GO;Não;Março;Centro-Oeste;1;18.87;19;18,87;1;5204557;5204557;14;14;1;Não;18.89;18.89;0.02;0.02;18.87;19;0 Dia(s) 19 Hora(s);0;1;18,89;18,89;0,02;0,02;18,87;-16.72921943664551;-48.98379135131836
GO;2023;Chapadão do Céu - GO;Chapadão do Céu;Empresário Individual;GO;Não;Março;Centro-Oeste;1;24.7;25;24,7;1;5205471;5205471;14;14;1;Não;24.72;24.72;0.02;0.02;24.7;25;1 Dia(s) 1 Hora(s);0;1;24,72;24,72;0,02;0,02;24,7;-18.38327026367188;-52.62200927734375
GO;2023;Doverlândia - GO;Doverlândia;Empresário Individual;GO;Não;Março;Centro-Oeste;1;67.93000000000001;68;67,93;1;5207253;5207253;14;14;1;Não;68.28;68.28;0.35;0.35;67.93000000000001;68;2 Dia(s) 20 Hora(s);0;1;68,28;68,28;0,35;0,35;67,93;-16.89985084533691;-52.54682159423828
GO;2023;Goiatuba - GO;Goiatuba;Empresário Individual;GO;Não;Março;Centro-Oeste;1;14.6;15;14,6;1;5209101;5209101;14;14;1;Não;14.6;14.6;0;0;14.6;15;0 Dia(s) 15 Hora(s);0;1;14,6;14,6;0;0;14,6;-17.99072074890137;-49.64883041381836
GO;2023;Hidrolina - GO;Hidrolina;Empresário Individual;GO;Não;Março;Centro-Oeste;1;24.51;25;24,51;1;5209804;5209804;14;14;1;Não;24.74;24.74;0.23;0.23;24.51;25;1 Dia(s) 1 Hora(s);0;1;24,74;24,74;0,23;0,23;24,51;-14.73701953887939;-49.37535858154297
GO;2023;Itauçu - GO;Itauçu;Empresário Individual;GO;Não;Março;Centro-Oeste;1;0.07000000000000001;0;0,07;1;5211404;5211404;14;14;1;Não;0.07000000000000001;0.07000000000000001;0;0;0.07000000000000001;0;0 Dia(s) 0 Hora(s);0;1;0,07;0,07;0;0;0,07;-16.2171802520752;-49.67002868652344
GO;2023;Itumbiara - GO;Itumbiara;Empresário Individual;GO;Não;Março;Centro-Oeste;1;0.32;0;0,32;1;5211503;5211503;14;14;1;Não;0.8600000000000001;0.8600000000000001;0.54;0.54;0.32;1;0 Dia(s) 1 Hora(s);1;1;0,86;0,86;0,54;0,54;0,32;-18.37590026855469;-49.38983917236328
GO;2023;Padre Bernardo - GO;Padre Bernardo;Empresário Individual;GO;Não;Março;Centro-Oeste;1;5.8;6;5,8;1;5215603;5215603;14;14;1;Não;5.819999999999999;5.819999999999999;0.02;0.02;5.8;6;0 Dia(s) 6 Hora(s);0;1;5,82;5,82;0,02;0,02;5,8;-15.37285041809082;-48.2518196105957
GO;2023;Palmeiras de Goiás - GO;Palmeiras de Goiás;Empresário Individual;GO;Não;Março;Centro-Oeste;1;20.59;21;20,59;1;5215702;5215702;14;14;1;Não;22.14;22.14;1.55;1.55;20.59;22;0 Dia(s) 22 Hora(s);2;1;22,14;22,14;1,55;1,55;20,59;-16.83746910095215;-49.93038940429688
GO;2023;Rio Quente - GO;Rio Quente;Empresário Individual;GO;Não;Março;Centro-Oeste;1;45.47;45;45,47;1;5218789;5218789;14;14;1;Não;45.47;45.47;0;0;45.47;45;1 Dia(s) 21 Hora(s);0;1;45,47;45,47;0;0;45,47;-17.82218933105469;-48.77761077880859
GO;2023;São Luís de Montes Belos - GO;São Luís de Montes Belos;Empresário Individual;GO;Não;Março;Centro-Oeste;1;18.95;19;18,95;1;5220108;5220108;14;14;1;Não;18.99;18.99;0.04;0.04;18.95;19;0 Dia(s) 19 Hora(s);0;1;18,99;18,99;0,04;0,04;18,95;-16.46149063110352;-50.37191009521484
