CO_MUNICIPIO,qtd_cursos_agro,qtd_cursos_artes,qtd_cursos_cn,qtd_cursos_cs,qtd_cursos_tic,qtd_cursos_educ,qtd_cursos_engenharias,qtd_cursos_negocios_direito,qtd_cursos_programas_basicos,qtd_cursos_saude,qtd_cursos_servicos,IES_privadas,IES_publicas
110001,0,0,0,0,2,74,2,30,0,0,8,,
110002,33,15,0,36,11,258,99,342,0,231,54,2,0
110004,66,9,0,59,17,148,184,422,0,383,14,3,0
110005,0,0,0,0,7,60,4,35,0,11,3,,
110006,53,0,0,0,3,83,9,36,0,0,0,,
110008,0,0,0,0,0,38,5,12,0,0,0,,
110009,0,1,0,0,4,30,0,22,0,0,2,,
110010,0,2,0,0,4,89,7,36,0,3,2,,
110011,3,4,0,0,11,103,8,114,0,12,6,1,0
110012,61,6,15,56,47,401,150,535,0,391,46,3,0
110013,0,0,0,0,1,104,3,26,0,0,5,,
110014,4,0,0,0,0,12,0,11,0,2,0,,
110015,0,2,0,1,2,77,18,60,0,95,7,1,0
110018,0,0,0,11,4,53,7,66,0,28,5,1,0
110020,81,31,25,125,119,678,424,1595,0,890,157,11,2
110025,11,0,0,0,2,17,3,15,0,0,0,,
110028,82,4,0,38,19,353,189,249,0,263,26,2,0
110030,115,10,0,41,24,320,90,322,0,218,28,6,0
110032,0,2,0,0,5,136,13,78,0,23,0,,
110033,0,0,0,0,2,36,3,27,0,0,0,,
110034,0,0,0,0,1,14,4,21,0,0,0,,
110037,0,1,0,0,0,9,11,3,0,0,2,,
110040,0,0,0,0,0,2,0,1,0,0,1,,
110045,1,2,0,0,2,99,3,90,0,4,7,,
110080,0,0,0,0,1,11,0,23,0,0,1,,
110094,0,1,0,0,0,22,3,1,0,0,1,,
110110,0,0,0,0,0,0,1,2,0,0,0,,
110130,0,0,0,0,2,7,0,5,0,0,3,,
110140,0,0,0,0,0,10,2,5,0,0,2,,
110149,0,0,0,1,0,8,0,5,0,0,0,,
110150,0,0,0,0,0,15,2,11,0,0,0,1,0
110170,0,0,0,0,0,11,0,2,0,0,3,,
120001,0,0,0,0,0,7,0,2,0,0,1,,
120005,0,0,0,0,0,0,0,1,0,0,0,,
120010,0,0,0,0,7,85,2,86,0,1,13,,
120013,0,0,0,0,0,0,0,0,0,0,0,,
120017,0,0,0,0,0,0,0,0,0,0,0,,
120020,22,1,10,1,11,355,4,84,0,70,5,2,0
