cod_municipio_ibge,total_empresas,total_empresas_abertas,media_tempo_abertura,media_dias_abertura
110001,1567,233,47.9414814814815,1.99756172839506
110002,9231,1659,98.5916666666667,4.10798611111111
110003,384,58,32.90625,1.37109375
110004,8615,1624,115.976551724138,4.83235632183908
110005,1618,316,44.7571875,1.8648828125
110006,1452,203,39.4686363636364,1.64452651515152
110007,437,95,73.586,3.06608333333333
110008,717,121,23.16375,0.96515625
110009,2279,405,64.714375,2.69643229166667
110010,2502,352,50.7619512195122,2.11508130081301
110011,4110,733,48.6607692307692,2.02753205128205
110012,13825,2665,171.982537313433,7.16593905472637
110013,1818,327,45.935,1.91395833333333
110014,874,154,53.6926315789474,2.23719298245614
110015,3279,563,46.1032352941176,1.9209681372549
110018,3601,675,82.3302857142857,3.43042857142857
110020,42799,9407,251.293235294118,10.4705514705882
110025,1325,214,41.24,1.71833333333333
110026,153,28,63.8383333333333,2.65993055555556
110028,5066,935,89.9625,3.7484375
110029,338,43,29.339,1.22245833333333
110030,11055,1942,124.145901639344,5.17274590163934
110032,1324,259,41.1516666666667,1.71465277777778
110033,1161,222,53.1074193548387,2.21280913978495
110034,831,138,59.988125,2.49950520833333
110037,450,78,63.367,2.64029166666667
110040,899,157,40.1452941176471,1.67272058823529
110045,1932,349,30.0946153846154,1.25394230769231
110050,341,44,48.06,2.0025
110060,160,24,75.4633333333333,3.14430555555556
110070,318,48,63.83,2.65958333333333
110080,1292,253,83.6193548387097,3.48413978494624
110090,106,27,21.8675,0.911145833333333
110092,651,117,26.4492857142857,1.10205357142857
110094,1099,213,35.4096296296296,1.4754012345679
110100,260,35,48.6366666666667,2.02652777777778
110110,490,75,21.8308333333333,0.909618055555556
110120,312,37,21.2,0.883333333333333
110130,539,93,21.1871428571429,0.882797619047619
110140,536,84,47.6255555555556,1.98439814814815
110143,289,40,47.91,1.99625
110145,180,41,24.354,1.01475
110146,147,24,42.765,1.781875
110147,146,19,37.806,1.57525
110148,219,40,37.9228571428571,1.58011904761905
110149,977,167,56.4986363636364,2.35410984848485
110150,574,107,26.069375,1.08622395833333
110155,198,29,23.56125,0.98171875
110160,261,47,32.112,1.338
110170,558,133,23.3483333333333,0.972847222222222
110175,321,63,57.2528571428571,2.38553571428571
110180,237,26,119.05,4.96041666666667
120001,596,113,62.809,2.61704166666667
120005,305,60,110.319,4.596625
120010,1514,261,142.335294117647,5.93063725490196
120013,289,58,27.7842857142857,1.15767857142857
120017,267,54,59.3836363636364,2.47431818181818
120020,4995,791,83.9742105263158,3.49892543859649
120025,956,164,55.8156666666667,2.32565277777778
120030,1004,119,25.4384210526316,1.05993421052632
120032,164,33,32.8722222222222,1.36967592592593
120033,386,71,40.846875,1.701953125
120034,329,52,70.72,2.94666666666667
120035,283,70,40.59,1.69125
120038,539,90,62.4418181818182,2.60174242424242
120039,194,39,35.706,1.48775
120040,25936,5113,348.806222222222,14.5335925925926
120042,224,47,61.46,2.56083333333333
120043,94,10,42.1825,1.75760416666667
120045,790,146,66.1923076923077,2.75801282051282
120050,1349,187,60.3573076923077,2.51488782051282
120060,1120,180,62.9486206896552,2.6228591954023
120070,528,69,79.1546153846154,3.29810897435897
120080,441,94,61.266875,2.55278645833333
130002,196,37,26.4309090909091,1.10128787878788
130006,196,17,41.0025,1.7084375
130008,131,17,29.516,1.22983333333333
130010,276,38,33.0027272727273,1.37511363636364
