"","cod_municipio_ibge","qtd_ativas","qtd_ativas_Consórcio de Sociedades","qtd_ativas_Consórcio Simples","qtd_ativas_Cooperativa","qtd_ativas_EIRELI","qtd_ativas_Empresa Pública","qtd_ativas_Empresário Individual","qtd_ativas_Estabelecimento, no Brasil, de Sociedade Estrangeira e Empresas Binacionais","qtd_ativas_Grupo de Sociedades","qtd_ativas_Sociedade Anônima","qtd_ativas_Sociedade de Economia Mista","qtd_ativas_Sociedade em Comandita por Ações","qtd_ativas_Sociedade em Comandita Simples","qtd_ativas_Sociedade em Conta de Participação","qtd_ativas_Sociedade em Nome Coletivo","qtd_ativas_Sociedade Limitada","qtd_abertas","qtd_abertas_Consórcio de Sociedades","qtd_abertas_Consórcio Simples","qtd_abertas_Cooperativa","qtd_abertas_EIRELI","qtd_abertas_Empresa Pública","qtd_abertas_Empresário Individual","qtd_abertas_Estabelecimento, no Brasil, de Sociedade Estrangeira e Empresas Binacionais","qtd_abertas_Grupo de Sociedades","qtd_abertas_Sociedade Anônima","qtd_abertas_Sociedade de Economia Mista","qtd_abertas_Sociedade em Comandita por Ações","qtd_abertas_Sociedade em Comandita Simples","qtd_abertas_Sociedade em Conta de Participação","qtd_abertas_Sociedade em Nome Coletivo","qtd_abertas_Sociedade Limitada","qtd_tempo_horas","qtd_horas_Consórcio de Sociedades","qtd_horas_Consórcio Simples","qtd_horas_Cooperativa","qtd_horas_EIRELI","qtd_horas_Empresa Pública","qtd_horas_Empresário Individual","qtd_horas_Estabelecimento, no Brasil, de Sociedade Estrangeira e Empresas Binacionais","qtd_horas_Sociedade Anônima","qtd_horas_Sociedade de Economia Mista","qtd_horas_Sociedade em Comandita por Ações","qtd_horas_Sociedade em Comandita Simples","qtd_horas_Sociedade em Nome Coletivo","qtd_horas_Sociedade Limitada"
"1","110001",1567,0,0,8,0,2,1102,0,0,6,1,0,0,0,0,448,233,0,0,1,0,0,194,0,0,0,0,0,0,0,0,38,46.3269696969697,0,0,0,0,0,39.01,0,0,0,0,0,0,49.98
"2","110002",9231,2,0,49,0,4,5942,0,0,142,3,0,0,2,0,3087,1659,0,0,5,1,0,1275,0,0,10,0,0,0,1,0,367,104.011375,0,0,53.84,51.87,0,67.73,0,98.71,0,0,0,0,142.03
"3","110003",384,0,0,3,0,1,295,0,0,1,1,0,0,0,0,83,58,0,0,1,0,0,49,0,0,0,0,0,0,0,0,8,32.90625,0,0,100.49,0,0,19.4,0,0,0,0,0,0,24.79
"4","110004",8615,1,0,26,0,4,5392,0,0,49,2,0,0,3,1,3137,1624,0,0,1,0,0,1258,0,0,6,0,0,0,0,0,359,122.208550724638,0,0,19.6,100.74,0,58.31,0,34.11,0,0,0,0,155.26
"5","110005",1618,0,0,8,0,2,1158,0,0,12,2,0,0,0,0,436,316,0,0,1,0,0,257,0,0,4,0,0,0,0,0,54,43.9144736842105,0,0,0,0,0,21.41,0,43.5,0,0,0,0,54.28
"6","110006",1452,0,0,7,0,2,1020,0,0,7,1,0,0,0,0,415,203,0,0,0,0,0,166,0,0,0,0,0,0,0,0,37,34.7559259259259,0,0,0,0,0,20.73,0,0,0,0,0,0,37.94
"7","110007",437,0,0,2,0,1,338,0,0,5,1,0,0,0,0,90,95,0,0,0,0,0,86,0,0,1,0,0,0,0,0,8,46.922,0,0,0,49.34,0,0.09,0,112.61,0,0,0,0,32.43
"8","110008",717,0,0,3,0,2,511,0,0,3,1,0,0,0,0,197,121,0,0,0,0,0,106,0,0,0,0,0,0,0,0,15,23.7289473684211,0,0,0,0,0,5.23,0,0,0,0,0,0,34.52
"9","110009",2279,0,0,5,0,2,1535,0,0,12,1,0,0,0,0,724,405,0,0,2,0,0,319,0,0,0,0,0,0,0,0,84,55.9509756097561,0,0,217.9,0,0,25.1,0,0,0,0,0,0,62.07
"10","110010",2502,0,0,6,0,2,1659,0,0,26,3,0,0,1,7,798,352,0,0,0,0,0,279,0,0,5,0,0,0,0,0,68,48.4592156862745,0,0,75.39,43.26,0,44.72,0,48.86,0,0,0,0,50.25
"11","110011",4110,0,0,19,0,3,2785,0,0,28,2,0,0,0,0,1273,733,0,0,1,0,0,617,0,0,2,0,0,0,0,0,113,42.5267346938776,0,0,0,26.93,0,42.52,0,12.36,0,0,0,0,44.9
"12","110012",13825,5,0,56,0,7,9158,0,0,98,4,0,0,6,0,4491,2665,0,0,8,0,0,2148,0,0,11,0,0,0,1,0,497,171.18835443038,0,0,356.23,76.65,0,102.23,0,47.09,0,0,0,0,206.35
"13","110013",1818,0,0,19,0,1,1283,0,0,8,1,0,0,0,0,506,327,0,0,1,0,0,279,0,0,1,0,0,0,0,0,46,47.3641935483871,0,0,351.97,10.47,0,21.74,0,30.5,0,0,0,0,49.34
"14","110014",874,0,0,4,0,2,545,0,0,6,1,0,0,0,0,316,154,0,0,0,0,0,113,0,0,0,0,0,0,0,0,41,54.0444444444444,0,0,0,0,0,30.13,0,0,0,0,0,0,62.41
"15","110015",3279,1,0,14,0,3,2406,0,0,9,1,0,0,0,0,845,563,0,0,2,0,0,461,0,0,1,0,0,0,0,0,99,45.0760465116279,0,0,37.06,20.21,0,22.77,0,0.97,0,0,0,0,61.54
"16","110018",3601,0,0,7,0,2,2427,0,0,32,2,0,0,0,0,1131,675,0,0,0,0,0,574,0,0,4,0,0,0,0,0,97,85.4724444444444,0,0,0,0,0,56.84,0,16.62,0,0,0,0,105.43
"17","110020",42799,28,1,101,0,49,28532,2,0,485,22,0,0,46,2,13531,9407,4,1,8,0,1,7893,1,0,42,0,0,0,11,0,1446,253.223553719008,0,43.86,31.81,40.68,37.29,167.35,1.74,94.42,0,0,0,0,517.48
"18","110025",1325,2,0,5,0,2,956,0,0,7,1,0,0,0,0,352,214,2,0,0,0,0,172,0,0,0,0,0,0,0,0,40,37.16,0,0,0,0,0,15.56,0,0,0,0,0,0,42.24
"19","110026",153,0,0,4,0,1,99,0,0,2,0,0,0,0,0,47,28,0,0,0,0,0,23,0,0,0,0,0,0,0,0,5,58.0085714285714,0,0,0,0,0,10.28,0,0,0,0,0,0,77.1
"20","110028",5066,2,0,15,0,2,3469,0,0,22,2,0,0,1,0,1553,935,2,0,1,0,0,709,0,0,1,0,0,0,1,0,221,87.6309433962264,0,0,0,19.77,0,35.06,0,22.46,0,0,0,0,116.7
"21","110029",338,0,0,1,0,1,228,0,0,2,1,0,0,0,0,105,43,0,0,0,0,0,33,0,0,0,0,0,0,0,0,10,26.9218181818182,0,0,0,17.57,0,11.24,0,0,0,0,0,0,34.98
"22","110030",11055,2,0,28,0,6,7104,0,0,91,2,0,0,4,0,3818,1942,0,0,3,0,0,1580,0,0,4,0,0,0,0,0,355,124.023815789474,0,0,19.68,44.39,0,84.69,0,34.01,0,0,0,0,162.94
"23","110032",1324,1,0,6,0,2,904,0,0,8,2,0,0,0,0,401,259,0,0,0,0,0,206,0,0,2,0,0,0,0,0,51,41.6033333333333,0,0,0,33.86,0,23.89,0,32.08,0,0,0,0,52.35
"24","110033",1161,0,0,6,0,2,853,0,0,6,1,0,0,0,0,293,222,0,0,1,0,0,184,0,0,2,0,0,0,0,0,35,46.915,0,0,6.71,50.71,0,60.38,0,17.32,0,0,0,0,42.76
"25","110034",831,0,0,6,0,1,588,0,0,4,1,0,0,0,0,231,138,0,0,0,0,0,115,0,0,0,0,0,0,0,0,23,58.1052380952381,0,0,0,125.55,0,42.26,0,0,0,0,0,0,63.05
"26","110037",450,0,0,5,0,1,327,0,0,4,0,0,0,0,0,113,78,0,0,0,0,0,61,0,0,0,0,0,0,0,0,17,48.5186666666667,0,0,0,0,0,22.86,0,0,0,0,0,0,54.93
"27","110040",899,0,0,3,0,2,621,0,0,6,1,0,0,0,0,266,157,0,0,0,0,0,131,0,0,0,0,0,0,0,0,26,39.7495238095238,0,0,0,138.11,0,28.85,0,0,0,0,0,0,38.05
"28","110045",1932,0,0,7,0,2,1299,0,0,11,2,0,0,0,0,611,349,0,0,1,0,0,283,0,0,1,0,0,0,0,0,64,28.2796875,0,0,2.94,3.9,0,30.64,0,0.15,0,0,0,0,31.11
"29","110050",341,0,0,4,0,1,206,0,0,1,1,0,0,0,0,128,44,0,0,0,0,0,35,0,0,0,0,0,0,0,0,9,48.06,0,0,0,0,0,63.8,0,0,0,0,0,0,37.57
"30","110060",160,0,0,1,0,1,113,0,0,1,1,0,0,0,0,43,24,0,0,0,0,0,16,0,0,0,0,0,0,0,0,8,85.1328571428571,0,0,0,0,0,143.15,0,0,0,0,0,0,75.46
"31","110070",318,0,0,8,0,1,220,0,0,3,1,0,0,0,0,85,48,0,0,2,0,0,38,0,0,0,0,0,0,0,0,8,64.102,0,0,79.79,0,0,32.78,0,0,0,0,0,0,69.31
"32","110080",1292,0,0,7,0,2,844,0,0,7,1,0,0,1,0,430,253,0,0,1,0,0,204,0,0,1,0,0,0,0,0,47,75.21725,0,0,213.55,104.39,0,65.96,0,19.6,0,0,0,0,76.07
"33","110090",106,0,0,3,0,1,73,0,0,0,0,0,0,0,0,29,27,0,0,0,0,0,22,0,0,0,0,0,0,0,0,5,21.8675,0,0,0,0,0,0,0,0,0,0,0,0,21.87
"34","110092",651,0,0,3,0,1,477,0,0,5,1,0,0,1,0,163,117,0,0,0,0,0,104,0,0,0,0,0,0,0,0,13,24.3610526315789,0,0,44.86,0,0,22.86,0,0,0,0,0,0,23.45
"35","110094",1099,0,0,5,0,2,820,0,0,5,0,0,0,0,0,267,213,0,0,0,0,1,184,0,0,0,0,0,0,0,0,28,37.091875,0,0,71.17,75.23,34.28,31.14,0,0,0,0,0,0,34.25
"36","110100",260,0,0,6,0,1,177,0,0,3,1,0,0,0,0,72,35,0,0,0,0,0,29,0,0,0,0,0,0,0,0,6,45.5814285714286,0,0,0,46.85,0,136.95,0,0,0,0,0,0,22.1
"37","110110",490,0,0,6,0,1,342,0,0,8,0,0,0,0,0,133,75,0,0,1,0,0,58,0,0,1,0,0,0,0,0,15,21.8466666666667,0,0,6.49,0,0,9.15,0,38.12,0,0,0,0,26.48
"38","110120",312,0,0,6,0,1,195,0,0,3,1,0,0,0,0,106,37,0,0,0,0,0,29,0,0,0,0,0,0,0,0,8,20.7911111111111,0,0,0,0,0,15.69,0,0,0,0,0,0,22.25
"39","110130",539,0,0,4,0,1,381,0,0,4,1,0,0,0,0,148,93,0,0,1,0,0,84,0,0,0,0,0,0,0,0,8,21.338125,0,0,20.16,0,0,25.95,0,0,0,0,0,0,18.4
"40","110140",536,0,0,6,0,1,323,0,0,5,1,0,0,0,0,200,84,0,0,1,0,0,62,0,0,0,0,0,0,0,0,21,49.8418181818182,0,0,19.15,0,0,0,0,0,0,0,0,0,52.91
