CO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,media_notas_CN,media_notas_CH,media_NU_NOTA_LC,media_NU_NOTA_MT,media_NU_NOTA_REDACAO
110001,11,RO,497.721951219512,504.034090909091,491.079545454546,543.558536585366,621.363636363636
110002,11,RO,474.773986486487,495.727950310559,484.710248447205,518.811148648649,584.534161490683
110003,11,RO,477.266666666667,486.071428571429,447.628571428572,522.883333333333,471.428571428571
110004,11,RO,489.744,505.006060606061,490.991919191919,533.458933333333,611.717171717172
110005,11,RO,479.26875,477.045714285714,454.722857142857,480.696875,576.571428571429
110006,11,RO,479.886,512.286274509804,494.092156862745,539.089,626.078431372549
110007,11,RO,439.184615384615,466.414285714286,432.535714285714,445.276923076923,577.142857142857
110008,11,RO,438.418181818182,465.692105263158,451.828947368421,478.290909090909,492.105263157895
110009,11,RO,461.71724137931,469.654347826087,466.064130434783,502.457471264368,548.695652173913
110010,11,RO,451.467664670659,467.282010582011,464.684126984127,485.638323353293,470.687830687831
110011,11,RO,472.34328358209,501.169178082192,481.437671232877,507.111194029851,590
110012,11,RO,484.306459330144,502.350223214286,487.765178571429,522.186842105263,566.741071428571
110013,11,RO,460.83962264151,482.138596491228,470.749122807018,485.543396226415,503.508771929825
110014,11,RO,462.555172413793,489.121875,478.515625,514.275862068966,593.75
110015,11,RO,458.246875,476.906849315069,470.32602739726,507.7,579.72602739726
110018,11,RO,465.746153846154,473.197435897436,471.037606837607,488.338461538462,527.179487179487
110020,11,RO,473.56113490364,496.498621368784,482.896110290497,511.237152034261,595.913343180699
110025,11,RO,461.296428571429,446.527692307692,454.544615384615,484.033928571429,516.615384615385
110026,11,RO,468.283333333333,445.4,438.942857142857,455.716666666667,531.428571428572
110028,11,RO,480.525274725275,494.438947368421,469.141052631579,517.863186813187,571.894736842105
110029,11,RO,478.235714285714,509.885714285714,475.578571428572,487.942857142857,597.142857142857
110030,11,RO,488.887333333333,519.050156739812,500.676175548589,534.319,588.84012539185
110032,11,RO,447.788095238095,479.639130434783,447.536956521739,474.640476190476,506.956521739131
110033,11,RO,449.951020408163,447.390740740741,439.796296296296,474.559183673469,540.740740740741
110034,11,RO,440.517857142857,473.506666666667,455.78,480.282142857143,540.666666666667
110037,11,RO,479.642105263158,479.394736842105,469.452631578947,501.263157894737,617.894736842105
110040,11,RO,465.220833333333,455.615384615385,438.430769230769,497.266666666667,464.615384615385
110045,11,RO,446.155813953488,454.804255319149,442.029787234043,483.318604651163,545.531914893617
110050,11,RO,482.491666666667,514.7,465.512,515.204166666667,540
110060,11,RO,492.392307692308,485.65,469.3,516.738461538462,652.857142857143
110070,11,RO,409.242857142857,423.128571428572,418.4,462.742857142857,548.571428571429
110080,11,RO,444.779487179487,439.290697674419,437.083720930233,463.05641025641,472.558139534884
110090,11,RO,462.416666666667,469.366666666667,439.1,482.5,576.666666666667
110092,11,RO,449.3,423.95,414.4375,434.78,517.5
110094,11,RO,445.315384615385,453.223076923077,432.630769230769,449.546153846154,489.230769230769
110100,11,RO,449.657894736842,441.507407407407,454.588888888889,481.673684210526,488.888888888889
110110,11,RO,442.9,473.766666666667,462.85,493.827272727273,431.666666666667
110120,11,RO,460.247619047619,464.156,429.712,477.971428571429,509.6
110130,11,RO,486.67380952381,490.647916666667,470.008333333333,519.32380952381,562.083333333333
110140,11,RO,437.208695652174,455.723076923077,450.130769230769,459.552173913044,488.461538461539
110143,11,RO,500.809090909091,511.990909090909,481.654545454546,507.518181818182,685.454545454546
110145,11,RO,422.1,369.633333333333,411.933333333333,423.066666666667,473.333333333333
110146,11,RO,428.45,449.4,400.125,449.5,565
110147,11,RO,450.95,497.814285714286,441.571428571429,461,502.857142857143
110148,11,RO,441.190909090909,470.836363636364,442.227272727273,472.236363636364,500
110149,11,RO,477.663333333333,479.676470588235,482.014705882353,519.4,578.235294117647
110150,11,RO,457.872,460.846428571429,462.617857142857,483.924,525.714285714286
110155,11,RO,439.54,477.6125,442.6625,456.466666666667,556.25
110160,11,RO,479.3,479.054545454545,463.618181818182,496.422222222222,445.454545454545
110170,11,RO,435.571428571429,469.728571428571,463.721428571429,488.578571428571,531.428571428572
110175,11,RO,463.753846153846,513.411111111111,461.016666666667,509.338461538462,525.555555555556
110180,11,RO,485.5,521.616666666667,504.158333333333,500.245454545455,475
120001,12,AC,418.56875,467.288888888889,454.483333333333,469.10625,490
120005,12,AC,452.05,444.845454545455,462.1,481.63,523.636363636364
120010,12,AC,464.183783783784,504.288095238095,492.854761904762,500.891891891892,576.666666666667
120013,12,AC,430.209090909091,434.016666666667,428.583333333333,460.454545454545,463.333333333333
120017,12,AC,448.757142857143,494.507142857143,467.157142857143,480.7,507.142857142857
120020,12,AC,459.687647058824,487.939393939394,477.045454545455,492.377352941177,574.710743801653
120025,12,AC,466.087878787879,468.520930232558,477.448837209302,480.227272727273,513.953488372093
120030,12,AC,446.603448275862,482.98125,473.7125,466.879310344828,548.75
120032,12,AC,442.725,441.22,410.8,497.05,576
120033,12,AC,426.435714285714,439.239393939394,437.339393939394,446.064285714286,494.545454545455
120034,12,AC,485.2125,514.7375,506.2625,490.95,557.5
120035,12,AC,449.128571428571,500.76,481.826666666667,467.1,554.666666666667
120038,12,AC,434.946153846154,460.266666666667,458.359259259259,476.019230769231,511.111111111111
120039,12,AC,421.153333333333,441.63125,442.725,446.053333333333,517.5
120040,12,AC,477.354738330976,505.614496644295,491.683288590604,516.64900990099,605.58389261745
120042,12,AC,449.992307692308,482.284615384615,453.176923076923,475.438461538462,581.538461538462
120043,12,AC,429.95,376.4,375.3,424.45,510
120045,12,AC,455.763414634146,460.888372093023,450.211627906977,488.809756097561,537.674418604651
120050,12,AC,465.932394366197,506.468055555556,488.679166666667,503.218309859155,623.333333333333
120060,12,AC,446.115277777778,468.453424657534,458.495890410959,482.884722222222,542.465753424658
120070,12,AC,478.918421052632,492.946341463415,467.048780487805,479.365789473684,564.390243902439
120080,12,AC,423.382608695652,463.813043478261,430.769565217391,463.760869565217,505.217391304348
130002,13,AM,413.528378378378,426.274698795181,407.607228915663,435.631081081081,433.493975903614
130006,13,AM,419.48717948718,430.491304347826,410.29347826087,439.535897435897,393.913043478261
130008,13,AM,422.591071428571,425.397333333333,420.893333333333,453.453571428571,406.666666666667
130010,13,AM,434.994871794872,441.443023255814,426.523255813953,450.807692307692,505.813953488372
130014,13,AM,449.344827586207,461.446666666667,454.906666666667,492.331034482759,487.333333333333
130020,13,AM,421.676666666667,424.725806451613,413.641935483871,432.933333333333,452.258064516129
130030,13,AM,423.609615384615,433.9140625,416.8984375,433.965384615385,436.5625
130040,13,AM,452.222033898305,478.325,440.0546875,464.991525423729,526.25
130050,13,AM,424.698518518519,436.496078431373,416.33137254902,438.212592592593,421.176470588235
