UF,Cod_municipio,Nome_municipio,IDEB_2021_medio,IDEB_2021_fund
RO,110001,Alta Floresta D'Oeste,3.9,4.8
RO,110002,Ariquemes,3.9,5
RO,110003,Cabixi,4.1,4.9
RO,110004,Cacoal,4.2,5.1
RO,110005,Cerejeiras,,5
RO,110006,Colorado do Oeste,,5.4
RO,110007,Corumbiara,4.4,5.1
RO,110008,Costa Marques,3.9,4.7
RO,110009,Espigão D'Oeste,4.3,5
RO,110010,Guajará-Mirim,3.4,4.4
RO,110011,Jaru,4.1,5
RO,110012,Ji-Paraná,4.2,5
RO,110013,Machadinho D'Oeste,3.9,
RO,110014,Nova Brasilândia D'Oeste,,5.6
RO,110015,Ouro Preto do Oeste,4.1,5.2
RO,110018,Pimenta Bueno,4.4,5.1
RO,110020,Porto Velho,3.8,4.4
RO,110025,Presidente Médici,4.1,5.4
RO,110026,Rio Crespo,,
RO,110028,Rolim de Moura,4.6,5.4
RO,110029,Santa Luzia D'Oeste,,5.2
RO,110030,Vilhena,3.6,5.1
RO,110032,São Miguel do Guaporé,,
RO,110033,Nova Mamoré,3.8,4.4
RO,110034,Alvorada D'Oeste,,4.8
RO,110037,Alto Alegre dos Parecis,,4.6
RO,110040,Alto Paraíso,,4.9
RO,110045,Buritis,3.7,4.6
RO,110050,Novo Horizonte do Oeste,4.6,5
RO,110060,Cacaulândia,4.4,4.3
RO,110070,Campo Novo de Rondônia,3.4,
RO,110080,Candeias do Jamari,4,3.9
RO,110090,Castanheiras,3.8,4.7
RO,110092,Chupinguaia,3.6,
RO,110094,Cujubim,,
RO,110100,Governador Jorge Teixeira,4.2,4.8
RO,110110,Itapuã do Oeste,,
RO,110120,Ministro Andreazza,,5.8
RO,110130,Mirante da Serra,,4.8
RO,110140,Monte Negro,4.1,4.4
RO,110143,Nova União,,4.5
RO,110145,Parecis,,4.6
RO,110146,Pimenteiras do Oeste,,4.3
RO,110147,Primavera de Rondônia,,
RO,110148,São Felipe D'Oeste,3.7,4.7
RO,110149,São Francisco do Guaporé,,5
RO,110150,Seringueiras,,5
RO,110155,Teixeirópolis,,5
RO,110160,Theobroma,,4.9
RO,110170,Urupá,,4.8
RO,110175,Vale do Anari,3.9,4.6
RO,110180,Vale do Paraíso,,4.8
AC,120001,Acrelândia,,
AC,120005,Assis Brasil,,
AC,120010,Brasiléia,,5.1
AC,120013,Bujari,,
AC,120017,Capixaba,3.3,4.2
AC,120020,Cruzeiro do Sul,3.8,4.8
AC,120025,Epitaciolândia,4,5.1
AC,120030,Feijó,4,4.9
AC,120032,Jordão,,4.4
AC,120033,Mâncio Lima,3.6,4.1
AC,120034,Manoel Urbano,,4.4
AC,120035,Marechal Thaumaturgo,,4.1
AC,120038,Plácido de Castro,,4.6
AC,120039,Porto Walter,,4
AC,120040,Rio Branco,4,4.8
AC,120042,Rodrigues Alves,,4.2
AC,120043,Santa Rosa do Purus,2.9,
AC,120045,Senador Guiomard,4.1,5
AC,120050,Sena Madureira,,4.4
AC,120060,Tarauacá,,4.6
AC,120070,Xapuri,,5
AC,120080,Porto Acre,3.4,4.2
AM,130002,Alvarães,3.2,3.7
AM,130006,Amaturá,3,4.1
AM,130008,Anamã,3.6,4.7
AM,130010,Anori,4,4.8
AM,130014,Apuí,4.1,4.4
AM,130020,Atalaia do Norte,2.2,3.5
AM,130030,Autazes,,
AM,130040,Barcelos,3.3,4.4
AM,130050,Barreirinha,3.1,4.1
AM,130060,Benjamin Constant,2.8,4.1
AM,130063,Beruri,3.5,3.8
AM,130068,Boa Vista do Ramos,3.1,4.2
AM,130070,Boca do Acre,3.6,4.7
AM,130080,Borba,3.1,4.2
AM,130083,Caapiranga,3.1,4.1
AM,130090,Canutama,3.5,3.7
AM,130100,Carauari,3.5,4.2
AM,130110,Careiro,3.3,4.6
AM,130115,Careiro da Várzea,3.5,4.1
AM,130120,Coari,3.3,4
AM,130130,Codajás,3.2,4.4
AM,130140,Eirunepé,3.4,3.8
AM,130150,Envira,,4
AM,130160,Fonte Boa,2.5,3.5
AM,130165,Guajará,,3.7
AM,130170,Humaitá,3.4,4.1
AM,130180,Ipixuna,2.5,3.4
AM,130185,Iranduba,3.3,4.1
AM,130190,Itacoatiara,3.5,4.7
AM,130195,Itamarati,2.9,3.9
AM,130200,Itapiranga,3.9,5
AM,130210,Japurá,3.2,5.6
AM,130220,Juruá,3,3.8
AM,130230,Jutaí,2.5,3.4
AM,130240,Lábrea,3.3,3.6
AM,130250,Manacapuru,3.7,4.8
AM,130255,Manaquiri,3.2,4.3
AM,130260,Manaus,3.8,5
AM,130270,Manicoré,3.3,4.5
AM,130280,Maraã,2.8,3.2
AM,130290,Maués,2.9,4.2
AM,130300,Nhamundá,3.5,4.7
AM,130310,Nova Olinda do Norte,3,4.4
AM,130320,Novo Airão,3.5,4.6
AM,130330,Novo Aripuanã,3.5,4
AM,130340,Parintins,3.9,4.9
AM,130350,Pauini,2.9,4.2
AM,130353,Presidente Figueiredo,3.8,4.7
AM,130356,Rio Preto da Eva,2.5,4.8
AM,130360,Santa Isabel do Rio Negro,3.1,3.9
AM,130370,Santo Antônio do Içá,3.1,3.9
AM,130380,São Gabriel da Cachoeira,2.8,4
AM,130390,São Paulo de Olivença,2.7,4.3
AM,130395,São Sebastião do Uatumã,3.2,4.9
AM,130400,Silves,3.2,4.7
AM,130406,Tabatinga,3.1,4.4
AM,130410,Tapauá,3.8,4.3
AM,130420,Tefé,3,4.6
AM,130423,Tonantins,3.2,4
AM,130426,Uarini,3.3,3.7
AM,130430,Urucará,3.2,4.7
AM,130440,Urucurituba,3.5,4.3
RR,140002,Amajari,,
RR,140005,Alto Alegre,,4.1
RR,140010,Boa Vista,,
RR,140015,Bonfim,,3.9
RR,140017,Cantá,,
RR,140020,Caracaraí,,3.9
RR,140023,Caroebe,,
RR,140028,Iracema,,
RR,140030,Mucajaí,,
RR,140040,Normandia,,
RR,140045,Pacaraima,,
RR,140047,Rorainópolis,,
RR,140050,São João da Baliza,,
RR,140060,São Luiz,,
RR,140070,Uiramutã,,
PA,150010,Abaetetuba,3.3,4.1
PA,150013,Abel Figueiredo,,4.2
PA,150020,Acará,,4.3
PA,150030,Afuá,,3.1
PA,150034,Água Azul do Norte,,
PA,150040,Alenquer,2.5,3.6
PA,150050,Almeirim,,3.8
PA,150060,Altamira,3.1,4.9
PA,150070,Anajás,,3.2
PA,150080,Ananindeua,3,4.5
PA,150085,Anapu,,3.5
PA,150090,Augusto Corrêa,2.5,4
PA,150095,Aurora do Pará,2.5,4.5
PA,150100,Aveiro,,
PA,150110,Bagre,,4.2
PA,150120,Baião,2.7,3.3
PA,150125,Bannach,,
PA,150130,Barcarena,,4.3
PA,150140,Belém,3.1,4.3
PA,150145,Belterra,,4.9
PA,150150,Benevides,3.1,4.8
PA,150157,Bom Jesus do Tocantins,,
PA,150160,Bonito,2.1,3.4
PA,150170,Bragança,2.8,3.9
PA,150172,Brasil Novo,,4.7
PA,150175,Brejo Grande do Araguaia,,
PA,150178,Breu Branco,,4.7
PA,150180,Breves,,4.8
PA,150190,Bujaru,2.5,4.8
PA,150195,Cachoeira do Piriá,,
PA,150200,Cachoeira do Arari,2.5,3.3
PA,150210,Cametá,3,4.1
PA,150215,Canaã dos Carajás,,4.6
PA,150220,Capanema,2.6,3.8
PA,150230,Capitão Poço,2.5,3.5
PA,150240,Castanhal,,3.9
PA,150250,Chaves,,
PA,150260,Colares,3.2,4.2
PA,150270,Conceição do Araguaia,,4.2
PA,150275,Concórdia do Pará,2.2,4
PA,150276,Cumaru do Norte,2.2,
PA,150277,Curionópolis,,4.7
PA,150280,Curralinho,,2.7
PA,150285,Curuá,,3.7
PA,150290,Curuçá,3,4.1
PA,150293,Dom Eliseu,2.2,4.3
PA,150295,Eldorado do Carajás,,4.6
PA,150300,Faro,,3.9
PA,150304,Floresta do Araguaia,,4.1
PA,150307,Garrafão do Norte,2.4,3.6
PA,150309,Goianésia do Pará,,4.4
PA,150310,Gurupá,,3.9
PA,150320,Igarapé-Açu,3,3.7
PA,150330,Igarapé-Miri,2.8,4.5
PA,150340,Inhangapi,,
PA,150345,Ipixuna do Pará,,4.4
PA,150350,Irituia,2.5,
PA,150360,Itaituba,2.8,4.5
PA,150370,Itupiranga,2.3,3.5
PA,150375,Jacareacanga,,
PA,150380,Jacundá,2.4,3.8
PA,150390,Juruti,3.1,4.5
PA,150400,Limoeiro do Ajuru,2.6,4.2
PA,150405,Mãe do Rio,3.2,4.8
PA,150410,Magalhães Barata,,3.7
PA,150420,Marabá,3,4.4
PA,150430,Maracanã,2.7,4.3
PA,150440,Marapanim,2.6,4.1
PA,150442,Marituba,3.5,4.4
PA,150445,Medicilândia,,
PA,150450,Melgaço,,
PA,150460,Mocajuba,,4
PA,150470,Moju,2.9,4.4
PA,150475,Mojuí dos Campos,,4.4
PA,150480,Monte Alegre,3,3.7
PA,150490,Muaná,,
PA,150495,Nova Esperança do Piriá,,4.2
PA,150497,Nova Ipixuna,,4.3
PA,150500,Nova Timboteua,3.3,4.6
PA,150503,Novo Progresso,,4.9
PA,150506,Novo Repartimento,,4.3
PA,150510,Óbidos,3,4.1
PA,150520,Oeiras do Pará,,
PA,150530,Oriximiná,3.5,5
PA,150540,Ourém,3,4.2
PA,150543,Ourilândia do Norte,2.8,4.4
PA,150548,Pacajá,2.9,3.8
PA,150549,Palestina do Pará,,3.3
PA,150550,Paragominas,,5
PA,150553,Parauapebas,,4.9
PA,150555,Pau D'Arco,,4
PA,150560,Peixe-Boi,3,3.8
PA,150563,Piçarra,,
PA,150565,Placas,,4.3
PA,150570,Ponta de Pedras,3.1,4.1
PA,150580,Portel,2.6,2.8
PA,150590,Porto de Moz,2.2,3.9
PA,150600,Prainha,2.8,4.3
PA,150610,Primavera,,3.9
PA,150611,Quatipuru,3.1,3.5
PA,150613,Redenção,,4.4
PA,150616,Rio Maria,,
PA,150618,Rondon do Pará,,4.1
PA,150619,Rurópolis,,4.4
PA,150620,Salinópolis,2.8,3.9
PA,150630,Salvaterra,2.9,3.8
PA,150635,Santa Bárbara do Pará,3,4
PA,150640,Santa Cruz do Arari,2.3,3.8
PA,150650,Santa Izabel do Pará,2.8,4.2
PA,150655,Santa Luzia do Pará,,
PA,150658,Santa Maria das Barreiras,,
PA,150660,Santa Maria do Pará,2.5,3.5
PA,150670,Santana do Araguaia,,3.2
PA,150680,Santarém,3.4,4.8
PA,150690,Santarém Novo,,4.4
PA,150700,Santo Antônio do Tauá,2.7,3.8
PA,150710,São Caetano de Odivelas,,4.3
PA,150715,São Domingos do Araguaia,,3.7
PA,150720,São Domingos do Capim,2.4,3.3
PA,150730,São Félix do Xingu,,
PA,150740,São Francisco do Pará,,
PA,150745,São Geraldo do Araguaia,2.8,4.7
PA,150746,São João da Ponta,,4.4
PA,150747,São João de Pirabas,,
PA,150750,São João do Araguaia,,
PA,150760,São Miguel do Guamá,3,4.1
PA,150770,São Sebastião da Boa Vista,,4.4
PA,150775,Sapucaia,,4.1
PA,150780,Senador José Porfírio,,
PA,150790,Soure,,3.5
PA,150795,Tailândia,,3.6
PA,150796,Terra Alta,,3.9
PA,150797,Terra Santa,,4.8
PA,150800,Tomé-Açu,2.8,4.4
PA,150803,Tracuateua,3.1,
PA,150805,Trairão,2.2,3.7
PA,150808,Tucumã,2.6,4.5
PA,150810,Tucuruí,3.1,4.5
PA,150812,Ulianópolis,,4.8
PA,150815,Uruará,,4.1
PA,150820,Vigia,3.3,4.1
PA,150830,Viseu,2.4,3.8
PA,150835,Vitória do Xingu,,5.1
PA,150840,Xinguara,2.6,3.8
AP,160005,Serra do Navio,,
AP,160010,Amapá,,3.9
AP,160015,Pedra Branca do Amapari,,
AP,160020,Calçoene,,3.4
AP,160021,Cutias,,
AP,160023,Ferreira Gomes,,3.2
AP,160025,Itaubal,3,
AP,160027,Laranjal do Jari,2.3,4.3
AP,160030,Macapá,,3.9
AP,160040,Mazagão,,3.8
AP,160050,Oiapoque,,3.2
AP,160053,Porto Grande,,4.1
AP,160055,Pracuúba,3.2,
AP,160060,Santana,3.4,4.1
AP,160070,Tartarugalzinho,3,3.8
AP,160080,Vitória do Jari,2.7,4
TO,170025,Abreulândia,,4.6
TO,170030,Aguiarnópolis,,4.8
TO,170035,Aliança do Tocantins,,4.9
TO,170040,Almas,3.5,4.1
TO,170070,Alvorada,3.9,5.1
TO,170100,Ananás,3.2,4.7
TO,170105,Angico,4.3,4.6
TO,170110,Aparecida do Rio Negro,3.9,4.3
TO,170130,Aragominas,,
TO,170190,Araguacema,,4.6
TO,170200,Araguaçu,4.2,5
TO,170210,Araguaína,4.3,4.9
TO,170215,Araguanã,3.6,4.3
TO,170220,Araguatins,4.2,4.7
TO,170230,Arapoema,,
TO,170240,Arraias,3.7,5
TO,170255,Augustinópolis,4.2,
TO,170270,Aurora do Tocantins,,
