"","CDMUN","NMMUN","SGUF","ISH"
"1","1100015","Alta Floresta D'Oeste","RO","Alta"
"2","1100023","Ariquemes","RO","Média"
"3","1100031","Cabixi","RO","Alta"
"4","1100049","Cacoal","RO","Alta"
"5","1100056","Cerejeiras","RO","Baixa"
"6","1100064","Colorado do Oeste","RO","Média"
"7","1100072","Corumbiara","RO","Alta"
"8","1100080","Costa Marques","RO","Baixa"
"9","1100098","Espigão D'Oeste","RO","Média"
"10","1100106","Guajará-Mirim","RO","Média"
"11","1100114","Jaru","RO","Média"
"12","1100122","Ji-Paraná","RO","Média"
"13","1100130","Machadinho D'Oeste","RO","Baixa"
"14","1100148","Nova Brasilândia D'Oeste","RO","Alta"
"15","1100155","Ouro Preto do Oeste","RO","Alta"
"16","1100189","Pimenta Bueno","RO","Média"
"17","1100205","Porto Velho","RO","Baixa"
"18","1100254","Presidente Médici","RO","Alta"
"19","1100262","Rio Crespo","RO","Média"
"20","1100288","Rolim de Moura","RO","Média"
"21","1100296","Santa Luzia D'Oeste","RO","Alta"
"22","1100304","Vilhena","RO","Média"
"23","1100320","São Miguel do Guaporé","RO","Baixa"
"24","1100338","Nova Mamoré","RO","Média"
"25","1100346","Alvorada D'Oeste","RO","Média"
"26","1100379","Alto Alegre dos Parecis","RO","Média"
"27","1100403","Alto Paraíso","RO","Média"
"28","1100452","Buritis","RO","Baixa"
"29","1100502","Novo Horizonte do Oeste","RO","Alta"
"30","1100601","Cacaulândia","RO","Baixa"
"31","1100700","Campo Novo de Rondônia","RO","Média"
"32","1100809","Candeias do Jamari","RO","Média"
"33","1100908","Castanheiras","RO","Alta"
"34","1100924","Chupinguaia","RO","Média"
"35","1100940","Cujubim","RO","Média"
"36","1101005","Governador Jorge Teixeira","RO","Média"
"37","1101104","Itapuã do Oeste","RO","Média"
"38","1101203","Ministro Andreazza","RO","Alta"
"39","1101302","Mirante da Serra","RO","Média"
"40","1101401","Monte Negro","RO","Média"
"41","1101435","Nova União","RO","Alta"
"42","1101450","Parecis","RO","Média"
"43","1101468","Pimenteiras do Oeste","RO","Média"
"44","1101476","Primavera de Rondônia","RO","Média"
"45","1101484","São Felipe D'Oeste","RO","Alta"
"46","1101492","São Francisco do Guaporé","RO","Baixa"
"47","1101500","Seringueiras","RO","Alta"
"48","1101559","Teixeirópolis","RO","Baixa"
"49","1101609","Theobroma","RO","Média"
"50","1101708","Urupá","RO","Média"
"51","1101757","Vale do Anari","RO","Baixa"
"52","1101807","Vale do Paraíso","RO","Baixa"
"53","1200013","Acrelândia","AC","Média"
"54","1200054","Assis Brasil","AC","Alta"
"55","1200104","Brasiléia","AC","Média"
"56","1200138","Bujari","AC","Média"
"57","1200179","Capixaba","AC","Média"
"58","1200203","Cruzeiro do Sul","AC","Média"
"59","1200252","Epitaciolândia","AC","Baixa"
"60","1200302","Feijó","AC","Baixa"
"61","1200328","Jordão","AC","Média"
"62","1200336","Mâncio Lima","AC","Alta"
"63","1200344","Manoel Urbano","AC","Baixa"
"64","1200351","Marechal Thaumaturgo","AC","Média"
"65","1200385","Plácido de Castro","AC","Média"
"66","1200393","Porto Walter","AC","Média"
"67","1200401","Rio Branco","AC","Baixa"
"68","1200427","Rodrigues Alves","AC","Média"
"69","1200435","Santa Rosa do Purus","AC","Média"
"70","1200450","Senador Guiomard","AC","Baixa"
"71","1200500","Sena Madureira","AC","Baixa"
"72","1200609","Tarauacá","AC","Baixa"
"73","1200708","Xapuri","AC","Média"
"74","1200807","Porto Acre","AC","Média"
"75","1300029","Alvarães","AM","Baixa"
"76","1300060","Amaturá","AM","Média"
"77","1300086","Anamã","AM","Média"
"78","1300102","Anori","AM","Média"
"79","1300144","Apuí","AM","Média"
"80","1300201","Atalaia do Norte","AM","Média"
"81","1300300","Autazes","AM","Baixa"
"82","1300409","Barcelos","AM","Média"
"83","1300508","Barreirinha","AM","Média"
"84","1300607","Benjamin Constant","AM","Média"
"85","1300631","Beruri","AM","Média"
"86","1300680","Boa Vista do Ramos","AM","Média"
"87","1300706","Boca do Acre","AM","Baixa"
"88","1300805","Borba","AM","Alta"
"89","1300839","Caapiranga","AM","Média"
"90","1300904","Canutama","AM","Média"
"91","1301001","Carauari","AM","Média"
"92","1301100","Careiro","AM","Média"
"93","1301159","Careiro da Várzea","AM","Média"
"94","1301209","Coari","AM","Média"
"95","1301308","Codajás","AM","Baixa"
"96","1301407","Eirunepé","AM","Baixa"
"97","1301506","Envira","AM","Média"
"98","1301605","Fonte Boa","AM","Média"
