CodMun,Mecanismos_incentivo,Reducao_IPTU,Isencao_IPTU,Reducao_ISSQN,Isencao_ISSQN,Isencao_Tx,Cessao_terrenos,Doacao_terrenos,Outros_mecanismos,Industria_beneficiada,Comercio_servicos_beneficiados,Turismo_esporte_lazer_beneficiados,Agropecuario_beneficiado,Outros_beneficiados,Industria_beneficiada_2018,Comercio_servicos_beneficiados_2018,Turismo_esporte_lazer_beneficiados_2018,Agropecuario_beneficiado_2018,Outros_beneficiados_2018,Nenhum_beneficiado_2018,Mecanismos_restricao,Legislacao,Tributacao,Outros_restricao,Industria_restricao,Industria_extrativa_restricao,Comercio_servicos_restricao,Turismo_esporte_lazer_restricao,Ambiental_restricao,Outras_empresas_restricao,Industria_restricao_2018,Industria_extrativa_restricao_2018,Comercial_servicos_restricao_2018,Turismo_esporte_lazer_restricao_2018,Ambiental_restricao_2018,Outros_restricao_2018,Nenhum_restricao_2018,Possui_computador,Computador_ligado_rede,Tipo_conexao_internet,Estrutura_organizacional_TI,Funcionarios_efetivos_TI,Servidores_cedidos_TI,Estagiarios_TI,Cargo_comissionado_TI,Tercerizados_TI,Consultores_TI,Servicos_informativos,Acessos_docs_,Infos_gerais_licitacoes,Ouvidoria,Download_docs,Consulta_processos,Consulta_previa,Diario_oficial,Concurso_publico,Cadastro_fornecedores,Emissao_certidao_negativa_debito,Emissao_alvara,Emissao_NF,Matricula_escolar,Agendamento_consulta_saude,Emissao_guia_pagamento_tributos,Emissao_docs,Pesquisa_satisfacao,Envio_SMS,Recibo_SMS,APPs_prefeitura,APPs_outros_orgaos,Website_mobile,Emissao_boletos_mobile,Nao_disponibilizou,Bilhete_eletronico_transporte,Onibus_GPS,Centro_controle_operacoes,Iluminacao_inteligente,Semaforos_inteligentes,Sensores_monitoria_area_risco,RH_adm_indir,RH_adm_dir
110001,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Em todas as unidades da prefeitura,Via cabo ou fibra ótica,Sim,Não,Não,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,,926
110002,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Em todas as unidades da prefeitura,Via cabo ou fibra ótica,Sim,Sim,Não,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Sim,Não,Não,Não,9,2563
110003,Sim,Não,Não,Não,Sim,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Apenas na sede da prefeitura,Via rádio,Sim,Não,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,,344
110004,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Em todas as unidades da prefeitura,Via cabo ou fibra ótica,Sim,Sim,Não,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Não,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,158,1971
110005,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Sim,Não,Não,Sim,Na sede e em parte das unidades,Via cabo ou fibra ótica,Não,-,-,-,-,-,-,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,,591
110006,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Sim,Sim,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Em todas as unidades da prefeitura,Via rádio,Não,-,-,-,-,-,-,Não,Não,Sim,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,,641
110007,Sim,Não,Sim,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Apenas na sede da prefeitura,Via rádio,Não,-,-,-,-,-,-,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,,382
110008,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Apenas na sede da prefeitura,Via cabo ou fibra ótica,Sim,Sim,Não,Não,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,,573
110009,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Na sede e em parte das unidades,Via cabo ou fibra ótica,Não,-,-,-,-,-,-,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,,893
110010,Sim,Não,Sim,Não,Sim,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Na sede e em parte das unidades,Via cabo ou fibra ótica,Sim,Sim,Não,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Sim,Não,Sim,Não,Não,Sim,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,,1164
