codigo_municipio_ibge,pib_per_capita_preco_corrente,atividade_maior_valor_ad_bruto
110001,25091.18,"Administração, defesa, educação e saúde públicas e seguridade social"
110002,25730.2,Demais serviços
110003,32226.25,"Administração, defesa, educação e saúde públicas e seguridade social"
110004,29331.29,Demais serviços
110005,37069.25,Comércio e reparação de veículos automotores e motocicletas
110006,23605.94,"Administração, defesa, educação e saúde públicas e seguridade social"
110007,37171.83,"Pecuária, inclusive apoio à pecuária"
110008,13936.5,"Administração, defesa, educação e saúde públicas e seguridade social"
110009,20380.2,"Administração, defesa, educação e saúde públicas e seguridade social"
110010,21148.43,"Administração, defesa, educação e saúde públicas e seguridade social"
110011,32256.26,Demais serviços
110012,31210.35,Demais serviços
110013,17136.5,"Administração, defesa, educação e saúde públicas e seguridade social"
110014,19687.14,"Administração, defesa, educação e saúde públicas e seguridade social"
110015,24769.65,"Administração, defesa, educação e saúde públicas e seguridade social"
110018,36909.05,Demais serviços
110020,36059.36,Demais serviços
110025,24996.99,"Administração, defesa, educação e saúde públicas e seguridade social"
110026,35115.8,"Pecuária, inclusive apoio à pecuária"
110028,25229.33,Demais serviços
110029,25223.38,"Pecuária, inclusive apoio à pecuária"
110030,30847.95,Demais serviços
110032,31663.33,"Agricultura, inclusive apoio à agricultura e a pós colheita"
110033,19173.98,"Pecuária, inclusive apoio à pecuária"
110034,20525.54,"Administração, defesa, educação e saúde públicas e seguridade social"
110037,24484.67,"Agricultura, inclusive apoio à agricultura e a pós colheita"
110040,18143.32,"Administração, defesa, educação e saúde públicas e seguridade social"
110045,19368.23,"Administração, defesa, educação e saúde públicas e seguridade social"
110050,22223.57,"Administração, defesa, educação e saúde públicas e seguridade social"
110060,26984.16,"Pecuária, inclusive apoio à pecuária"
110070,23267.45,"Pecuária, inclusive apoio à pecuária"
110080,20560.09,"Administração, defesa, educação e saúde públicas e seguridade social"
110090,26921.8,"Pecuária, inclusive apoio à pecuária"
110092,32677.85,"Pecuária, inclusive apoio à pecuária"
110094,16493.48,"Administração, defesa, educação e saúde públicas e seguridade social"
110100,26942.95,"Pecuária, inclusive apoio à pecuária"
110110,18116.96,"Administração, defesa, educação e saúde públicas e seguridade social"
110120,23529.88,"Administração, defesa, educação e saúde públicas e seguridade social"
110130,21417.31,"Administração, defesa, educação e saúde públicas e seguridade social"
110140,21300.12,"Administração, defesa, educação e saúde públicas e seguridade social"
110143,18685.84,"Pecuária, inclusive apoio à pecuária"
110145,19495.63,"Pecuária, inclusive apoio à pecuária"
110146,69296.61,"Agricultura, inclusive apoio à agricultura e a pós colheita"
