"","cod_municipio","cod_municipiodv","municipio","Tipo","CEP","Endereço"
"1",260410,2604106,"Caruaru","Estrutura de atendimento do Sebrae/UF (própria ou alugada)","55024-740","AVENIDA ADJAR DA SILVA CASÉ, 277, INDIANÓPOLIS"
"2",260410,2604106,"Caruaru","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55012-010","RUA VISCONDE DE INHAÚMA, 107, MAURÍCIO DE NASSAU"
"3",261160,2611606,"Recife","Estrutura de atendimento do Sebrae/UF (própria ou alugada)","50750-230","RUA TABAIARES, 360, ILHA DO RETIRO"
"4",261160,2611606,"Recife","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","50030-903","AVENIDA CAIS DO APOLO, 925 - NA SEDE DA PREFEITURA DO RECIFE - MEZANINO, RECIFE"
"5",261160,2611606,"Recife","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","52131-085","AVENIDA ANÍBAL BENÉVOLO, S/N, LINHA DO TIRO"
"6",261160,2611606,"Recife","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","50090-540","RUA LOURENÇO DE SÁ, 140, ILHA JOANA BEZERRA"
"7",261160,2611606,"Recife","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","50630-060","AVENIDA GENERAL SAN MARTIN, 1208, CORDEIRO"
"8",261390,2613909,"Serra Talhada","Estrutura de atendimento do Sebrae/UF (própria ou alugada)","56903-525","AVENIDA ADRIANO DUQUE DE GODOY SOUZA, 01, NOSSA SENHORA DA PENHA"
"9",261390,2613909,"Serra Talhada","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","56912-550","AVENIDA CUSTÓDIO CONRRADO DE LORENA E SÁ, 600 - CENTRO ADMINISTRATIVO MUNICIPAL UM, AABB"
"10",260600,2606002,"Garanhuns","Estrutura de atendimento do Sebrae/UF (própria ou alugada)","55296-300","AVENIDA RUI BARBOSA, 671- 1° ANDAR, HELIÓPOLIS"
"11",260600,2606002,"Garanhuns","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55293-000","AVENIDA SANTO ANTÔNIO, 90 - PREFEITURA MUNICIPAL DE GARANHUNS, SANTO ANTÔNIO"
"12",260110,2601102,"Araripina","Estrutura de atendimento do Sebrae/UF (própria ou alugada)","56280-970","RUA MARCOS VIEIRA DE ALENCAR, 331 - LOJA 01, CENTRO"
"13",260110,2601102,"Araripina","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","56280-970","RUA JOAQUIM RODRIGUES NOGUEIRA, 500, CENTRO"
"14",261110,2611101,"Petrolina","Estrutura de atendimento do Sebrae/UF (própria ou alugada)","56304-190","AVENIDA PRESIDENTE TANCREDO NEVES, 1079 - A, CENTRO"
"15",261110,2611101,"Petrolina","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","56304-340","RUA CASTRO ALVES, 55 - DENTRO DA AGE - AGÊNCIA MUNICIPAL DE EMPREENDEDORISMO, CENTRO"
"16",260880,2608800,"Lajedo","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55385-970","PRAÇA JOAQUIM NAMBUCO, 03 - 2º ANDAR, CENTRO"
"17",261300,2613008,"São Bento do Una","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55370-000","RUA QUATRO - PRACA JUVENTINO GOMES, 149, SÃO BENTO DO UNA"
"18",260680,2606804,"Igarassu","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","53610-070","AVENIDA BANDEIRA DE MELO, 320 - BR 101 - PRÉDIO DO CTEN, CENTRO"
"19",260960,2609600,"Olinda","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","53020-030","AVENIDA LIBERDADE, 68 - PRÓXIMO A BIBLIOTECA PÚBLICA E PRAÇA DO CARMO, CARMO"
"20",260345,2603454,"Camaragibe","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","54759-061","2ª TRAVESSA PADRE OZEAS CAVALCANTE, 800 - AO LADO DA DELEGACIA, BAIRRO NOVO DO CARMELO"
"21",260790,2607901,"Jaboatão dos Guararapes","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","54080-970","AVENIDA BARÃO DE LUCENA, 131- DENTRO DA AGÊNCIA DO TRABALHADOR, CENTRO"
"22",260790,2607901,"Jaboatão dos Guararapes","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","54270-010","RUA DOIS, S/N - CURADO IV - EM FRENTE AO BL 19 - ANEXO A POLIC. MANOEL CALHEIROS, CURADO"
"23",260790,2607901,"Jaboatão dos Guararapes","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","54420-050","AVENIDA PRESIDENTE KENNEDY, 578 - PERTO DA CURVA DO SESC, PIEDADE"
"24",260790,2607901,"Jaboatão dos Guararapes","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","54250-603","PRAÇA SEVERINA RITA COELHO, 20 - DE FRENTE AO BANCO DO BRASIL, CAVALEIRO"
"25",260790,2607901,"Jaboatão dos Guararapes","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","54310-310","AVENIDA BARRETO DE MENEZES, S/N - DENTRO DO MERCADO DAS MANGUEIRAS - 1º ANDAR, PRAZERES"
"26",261070,2610707,"Paulista","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","53401-460","AVENIDA MARECHAL FLORIANO PEIXOTO, S/N, CENTRO"
"27",261130,2611309,"Pombos","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55633-970","RUA ESPERIDÃO VIEIRA SANDRES, 54 - EREN CAPITÃO MANOEL GOMES, CENTRO"
"28",261640,2616407,"Vitória de Santo Antão","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55602-010","AVENIDA MARIANA AMÁLIA, 288, MATRIZ"
"29",260610,2606101,"Glória do Goitá","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55620-970","AVENIDA CLETO CAMPELO, 160, CENTRO"
"30",260775,2607752,"Itapissuma","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","53700-970","AVENIDA FREI SERAFIM, 223, CENTRO"
"31",260760,2607604,"Ilha de Itamaracá","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","53900-000","AVENIDA JOÃO PESSOA GUERRA, S/N - AO LADO DA BIBLIOTECA PÚBLICA, ILHA DE ITAMARACÁ"
"32",261370,2613701,"São Lourenço da Mata","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","54735-805","RUA FLORIANO PEIXOTO, 90, CENTRO"
"33",260890,2608909,"Limoeiro","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55705-970","PRAÇA DOMINGOS RODRIGUES, 179 - SECRETARIA DE DESENVOLVIMENTO AGRÍCOLA, CENTRO"
"34",260890,2608909,"Limoeiro","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55705-970","AVENIDA SANTO ANTÔNIO, 169 - DIRETORIA EXECUTIVA DE INDÚSTRIA E COMÉRCIO, CENTRO"
"35",260460,2604601,"Condado","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55940-970","RUA ANÍSIO MONTEIRO DE BARROS, 134 - A, CENTRO"
"36",261420,2614204,"Sirinhaém","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55580-970","RUA MARQUÊS DE OLINDA, N° 760 - CENTRAL DE OPORTUNIDADES, CENTRO"
"37",260765,2607653,"Itambé","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55920-970","RUA JOSUÉ DE CASTRO, 84 - SECRETARIA DE AGRICULTURA, CENTRO"
"38",260200,2602001,"Bodocó","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","56220-970","RUA QUATRO DE OUTUBRO, 121 - SECRETARIA DE AGRICULTURA, CENTRO"
"39",260990,2609907,"Ouricuri","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","56200-970","AVENIDA MANOEL IRENEU DE ARAÚJO, 244 - PRÉDIO ADMINISTRATIVO, CENTRO"
"40",260530,2605301,"Exu","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","56245-970","TRAVESSA BERNARDINO PAZ, S/N - FUNCIONA NO PRÉDIO DA SECRETARIA DE OBRAS, CENTRO"
"41",261040,2610400,"Parnamirim","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","56163-970","RUA JOSÉ CUPERTINO AMANDO AGRA, N° 16 - LOTEAMENTO SIMPATIA II, CENTRO"
"42",260970,2609709,"Orobó","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55745-970","AVENIDA AGAMENON MAGALHÃES, S/N - SECRETARIA DE ASSISTÊNCIA SOCIAL, CENTRO"
"43",260620,2606200,"Goiana","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55900-973","RUA MARECHAL DEODORO DA FONSECA, 220, CENTRO"
"44",261560,2615607,"Trindade","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","56250-970","BR 316 -, (Ao lado da UPA), CENTRO"
"45",260190,2601904,"Bezerros","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55660-974","PRAÇA DUQUE DE CAXIAS, S/N - EDIFICIO J. FERRAZ - CENTRO ADMINISTRATIVO, CENTRO"
"46",260640,2606408,"Gravatá","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55641-905","TRAVESSA PRUDENTE JOÃO PESSOA, 44 - AO LADO DA AUTOESCOLA SANTANA, GRAVATÁ CENTRO"
"47",260630,2606309,"Granito","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","56160-970","Rua Geraldo Marques da Silva, S/N, CENTRO"
"48",260300,2603009,"Cabrobó","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","56180-970","AVENIDA SÃO FRANCISCO, 587, CENTRO"
"49",260120,2601201,"Arcoverde","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","56505-010","AVENIDA PROFESSORA LUIZA HERCULANO DA SILVA, S/N, CENTRO"
"50",260845,2608453,"Lagoa do Carro","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55820-970","PRAÇA DA SOLEDADE, S/N - ANEXO A BIBLIOTECA PÚBLICA, CENTRO"
"51",260720,2607208,"Ipojuca","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55590-000","RODOVIA PE 60 - KM 18, S/N, IPOJUCA"
"52",261190,2611903,"Rio Formoso","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55575-970","PRAÇA AGAMENON MAGALHÃES, S/N, S/N, CENTRO"
"53",261630,2616308,"Vicência","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55850-000","AVENIDA ESTEFÂNIA CARNEIRO DA CUNHA, 575, VICÊNCIA"
"54",260170,2601706,"Belo Jardim","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55150-005","AVENIDA DEPUTADO JOSÉ MENDONÇA BEZERRA, 259, CENTRO"
