SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,bolsonaro,lula,branco,nulo,bolsonaro_perc,lula_perc,codigo_ibge,cod_uf,codigo_ibge_dv
AC,1007,BUJARI,4693,1958,88,107,0.685509786736781,0.286006427110722,01007,12,120100
AC,1015,CAPIXABA,3963,1497,34,56,0.714054054054054,0.26972972972973,01015,12,120101
AC,1023,PORTO ACRE,7384,2317,66,113,0.747368421052632,0.234514170040486,01023,12,120102
AC,1031,SANTA ROSA DO PURUS,1127,1217,17,64,0.464742268041237,0.501855670103093,01031,12,120103
AC,1040,MARECHAL THAUMATURGO,3710,2742,47,122,0.560338317474702,0.41413683733575,01040,12,120104
AC,1058,BRASILÉIA,9593,3958,99,145,0.695396882928597,0.286915549111997,01058,12,120105
AC,1066,PORTO WALTER,1866,2093,65,77,0.455010972933431,0.510363326018044,01066,12,120106
AC,1074,CRUZEIRO DO SUL,31936,9733,473,646,0.746377489015612,0.227470318780967,01074,12,120107
AC,1082,RODRIGUES ALVES,6011,1455,51,69,0.792380701291854,0.19180068547324,01082,12,120108
AC,1090,MÂNCIO LIMA,6331,2708,82,107,0.686064152579107,0.29345470307759,01090,12,120109
AC,1104,JORDÃO,1433,1980,24,65,0.409194745859509,0.5653912050257,01104,12,120110
AC,1112,EPITACIOLÂNDIA,6729,2464,78,105,0.717683447098976,0.262798634812287,01112,12,120111
AC,1120,ACRELÂNDIA,5317,1460,51,92,0.768352601156069,0.210982658959538,01120,12,120112
AC,1139,FEIJÓ,6383,7113,134,334,0.457103981667144,0.509381266112862,01139,12,120113
AC,1392,RIO BRANCO,142090,53873,2727,3488,0.702796545618218,0.266463215582309,01392,12,120139
AC,1457,SENA MADUREIRA,13606,4976,151,237,0.71723774380601,0.262308908803374,01457,12,120145
AC,1473,TARAUACÁ,9067,6802,175,295,0.554929922271865,0.416304547401922,01473,12,120147
AC,1490,XAPURI,5217,3634,56,157,0.575573698146514,0.400926743159753,01490,12,120149
AC,1511,PLÁCIDO DE CASTRO,6176,2306,83,116,0.711438774334754,0.265637599354913,01511,12,120151
AC,1538,SENADOR GUIOMARD,9512,3338,161,169,0.721699544764795,0.253262518968134,01538,12,120153
AC,1554,MANOEL URBANO,2889,2047,30,91,0.571287324500692,0.404785445916551,01554,12,120155
AC,1570,ASSIS BRASIL,2717,1895,30,67,0.576980250583988,0.402420896156296,01570,12,120157
AL,27006,PARIPUEIRA,4187,3742,113,460,0.492472359444837,0.440131733709715,27006,27,272700
AL,27014,ÁGUA BRANCA,1004,9400,77,629,0.0903690369036904,0.846084608460846,27014,27,272701
AL,27022,PARICONHA,562,5771,42,326,0.0838680793911357,0.86121474406805,27022,27,272702
AL,27030,ANADIA,2019,6166,110,571,0.227723889014212,0.695465824498083,27030,27,272703
AL,27049,ESTRELA DE ALAGOAS,1201,6374,84,636,0.144786015672092,0.768414707655214,27049,27,272704
AL,27057,ARAPIRACA,54674,61009,1726,6289,0.441995828550179,0.493209267732704,27057,27,272705
AL,27065,JEQUIÁ DA PRAIA,2854,2832,56,304,0.472047634799868,0.468408865365531,27065,27,272706
AL,27073,ATALAIA,7544,13340,326,1412,0.333480682521439,0.589691450800106,27073,27,272707
AL,27081,CAMPESTRE,1089,2695,49,228,0.268160551588279,0.663629647869983,27081,27,272708
AL,27090,BARRA DE SANTO ANTÔNIO,3586,5155,112,532,0.382099094299414,0.549280767181673,27090,27,272709
AL,27111,BARRA DE SÃO MIGUEL,2871,2699,61,286,0.48521210072672,0.456143315869529,27111,27,272711
AL,27138,BATALHA,2982,6393,103,506,0.298677884615385,0.640324519230769,27138,27,272713
AL,27154,BELÉM,886,2406,45,202,0.250353207120656,0.679853065837807,27154,27,272715
AL,27170,BELO MONTE,1057,3113,49,224,0.237902318253432,0.700652712131443,27170,27,272717
AL,27197,BOCA DA MATA,5359,7724,194,790,0.380962536432786,0.54908651453757,27197,27,272719
AL,27219,BRANQUINHA,1571,4041,86,436,0.256113465927617,0.658787088359961,27219,27,272721
AL,27235,CACIMBINHAS,1440,4147,49,381,0.239321921223201,0.689213893967093,27235,27,272723
AL,27251,CAJUEIRO,2991,6416,131,654,0.29346546310832,0.629513343799058,27251,27,272725
AL,27278,CAMPO ALEGRE,6012,11486,193,1003,0.321600513533754,0.614421739595592,27278,27,272727
AL,27294,CAMPO GRANDE,1197,5048,76,344,0.179594898724681,0.757389347336834,27294,27,272729
AL,27316,CANAPI,1365,7473,92,522,0.144413880660178,0.790626322471435,27316,27,272731
AL,27332,CAPELA,3523,5228,118,546,0.374190122145513,0.555284121083378,27332,27,272733
