codigo_municipio_ibge,municipio,mes_referencia,valor_medio_recebido_familia
120001,ACRELÂNDIA,01/2022,20353
120001,ACRELÂNDIA,09/2022,60515
120001,ACRELÂNDIA,07/2022,40641
120001,ACRELÂNDIA,02/2022,20871
120001,ACRELÂNDIA,08/2022,60539
120001,ACRELÂNDIA,05/2022,19999
120001,ACRELÂNDIA,12/2022,60505
120001,ACRELÂNDIA,03/2022,20934
120001,ACRELÂNDIA,04/2022,20604
120001,ACRELÂNDIA,10/2022,60620
120001,ACRELÂNDIA,11/2022,60565
120001,ACRELÂNDIA,06/2022,19241
120005,ASSIS BRASIL,10/2022,65925
120005,ASSIS BRASIL,06/2022,35589
120005,ASSIS BRASIL,11/2022,65630
120005,ASSIS BRASIL,04/2022,36229
120005,ASSIS BRASIL,09/2022,65892
120005,ASSIS BRASIL,02/2022,36171
120005,ASSIS BRASIL,08/2022,66028
120005,ASSIS BRASIL,05/2022,35817
120005,ASSIS BRASIL,12/2022,65407
120005,ASSIS BRASIL,03/2022,36342
120005,ASSIS BRASIL,07/2022,46543
120005,ASSIS BRASIL,01/2022,34579
120010,BRASILÉIA,07/2022,41078
120010,BRASILÉIA,03/2022,23275
120010,BRASILÉIA,10/2022,61013
120010,BRASILÉIA,06/2022,22692
120010,BRASILÉIA,11/2022,60919
120010,BRASILÉIA,02/2022,23477
120010,BRASILÉIA,04/2022,23198
120010,BRASILÉIA,08/2022,60895
120010,BRASILÉIA,09/2022,60852
120010,BRASILÉIA,05/2022,23048
120010,BRASILÉIA,01/2022,22802
120010,BRASILÉIA,12/2022,60852
120013,BUJARI,08/2022,60891
120013,BUJARI,05/2022,23006
120013,BUJARI,02/2022,23696
120013,BUJARI,12/2022,60802
120013,BUJARI,09/2022,60743
120013,BUJARI,07/2022,41103
120013,BUJARI,03/2022,23392
120013,BUJARI,01/2022,22899
120013,BUJARI,10/2022,60753
120013,BUJARI,11/2022,60735
120013,BUJARI,04/2022,23341
120013,BUJARI,06/2022,22400
120017,CAPIXABA,10/2022,60898
120017,CAPIXABA,04/2022,22715
120017,CAPIXABA,06/2022,22304
120017,CAPIXABA,11/2022,60835
120017,CAPIXABA,01/2022,22548
120017,CAPIXABA,09/2022,60881
120017,CAPIXABA,12/2022,60815
120017,CAPIXABA,02/2022,23128
120017,CAPIXABA,08/2022,60990
120017,CAPIXABA,05/2022,22718
120017,CAPIXABA,03/2022,22728
120017,CAPIXABA,07/2022,41188
120020,CRUZEIRO DO SUL,03/2022,35812
120020,CRUZEIRO DO SUL,07/2022,45276
120020,CRUZEIRO DO SUL,10/2022,64818
120020,CRUZEIRO DO SUL,06/2022,34950
120020,CRUZEIRO DO SUL,11/2022,64102
120020,CRUZEIRO DO SUL,04/2022,35761
120020,CRUZEIRO DO SUL,01/2022,34290
120020,CRUZEIRO DO SUL,09/2022,64604
120020,CRUZEIRO DO SUL,05/2022,35175
120020,CRUZEIRO DO SUL,12/2022,63872
120020,CRUZEIRO DO SUL,02/2022,35411
120020,CRUZEIRO DO SUL,08/2022,64728
120025,EPITACIOLÂNDIA,09/2022,60792
120025,EPITACIOLÂNDIA,02/2022,23191
120025,EPITACIOLÂNDIA,12/2022,60702
120025,EPITACIOLÂNDIA,04/2022,22638
120025,EPITACIOLÂNDIA,08/2022,60832
120025,EPITACIOLÂNDIA,01/2022,22713
120025,EPITACIOLÂNDIA,05/2022,21941
120025,EPITACIOLÂNDIA,07/2022,40881
120025,EPITACIOLÂNDIA,03/2022,22719
120025,EPITACIOLÂNDIA,11/2022,60781
120025,EPITACIOLÂNDIA,06/2022,21597
120025,EPITACIOLÂNDIA,10/2022,60787
120030,FEIJÓ,10/2022,64616
120030,FEIJÓ,06/2022,33955
120030,FEIJÓ,11/2022,64489
120030,FEIJÓ,12/2022,64395
120030,FEIJÓ,02/2022,35062
120030,FEIJÓ,09/2022,64645
120030,FEIJÓ,04/2022,34808
120030,FEIJÓ,08/2022,64676
