codigo_municipio_ibge,nome_municipio,pib_preco_corrente,atividade_maior_valor_ad_bruto
110001,Alta Floresta D'Oeste,25091.18,"Administração, defesa, educação e saúde públicas e seguridade social"
110002,Ariquemes,25730.2,Demais serviços
110003,Cabixi,32226.25,"Administração, defesa, educação e saúde públicas e seguridade social"
110004,Cacoal,29331.29,Demais serviços
110005,Cerejeiras,37069.25,Comércio e reparação de veículos automotores e motocicletas
110006,Colorado do Oeste,23605.94,"Administração, defesa, educação e saúde públicas e seguridade social"
110007,Corumbiara,37171.83,"Pecuária, inclusive apoio à pecuária"
110008,Costa Marques,13936.5,"Administração, defesa, educação e saúde públicas e seguridade social"
110009,Espigão D'Oeste,20380.2,"Administração, defesa, educação e saúde públicas e seguridade social"
110010,Guajará-Mirim,21148.43,"Administração, defesa, educação e saúde públicas e seguridade social"
110011,Jaru,32256.26,Demais serviços
110012,Ji-Paraná,31210.35,Demais serviços
110013,Machadinho D'Oeste,17136.5,"Administração, defesa, educação e saúde públicas e seguridade social"
110014,Nova Brasilândia D'Oeste,19687.14,"Administração, defesa, educação e saúde públicas e seguridade social"
110015,Ouro Preto do Oeste,24769.65,"Administração, defesa, educação e saúde públicas e seguridade social"
110018,Pimenta Bueno,36909.05,Demais serviços
110020,Porto Velho,36059.36,Demais serviços
110025,Presidente Médici,24996.99,"Administração, defesa, educação e saúde públicas e seguridade social"
110026,Rio Crespo,35115.8,"Pecuária, inclusive apoio à pecuária"
110028,Rolim de Moura,25229.33,Demais serviços
110029,Santa Luzia D'Oeste,25223.38,"Pecuária, inclusive apoio à pecuária"
110030,Vilhena,30847.95,Demais serviços
110032,São Miguel do Guaporé,31663.33,"Agricultura, inclusive apoio à agricultura e a pós colheita"
110033,Nova Mamoré,19173.98,"Pecuária, inclusive apoio à pecuária"
110034,Alvorada D'Oeste,20525.54,"Administração, defesa, educação e saúde públicas e seguridade social"
110037,Alto Alegre dos Parecis,24484.67,"Agricultura, inclusive apoio à agricultura e a pós colheita"
110040,Alto Paraíso,18143.32,"Administração, defesa, educação e saúde públicas e seguridade social"
110045,Buritis,19368.23,"Administração, defesa, educação e saúde públicas e seguridade social"
110050,Novo Horizonte do Oeste,22223.57,"Administração, defesa, educação e saúde públicas e seguridade social"
110060,Cacaulândia,26984.16,"Pecuária, inclusive apoio à pecuária"
110070,Campo Novo de Rondônia,23267.45,"Pecuária, inclusive apoio à pecuária"
110080,Candeias do Jamari,20560.09,"Administração, defesa, educação e saúde públicas e seguridade social"
110090,Castanheiras,26921.8,"Pecuária, inclusive apoio à pecuária"
110092,Chupinguaia,32677.85,"Pecuária, inclusive apoio à pecuária"
110094,Cujubim,16493.48,"Administração, defesa, educação e saúde públicas e seguridade social"
110100,Governador Jorge Teixeira,26942.95,"Pecuária, inclusive apoio à pecuária"
110110,Itapuã do Oeste,18116.96,"Administração, defesa, educação e saúde públicas e seguridade social"
110120,Ministro Andreazza,23529.88,"Administração, defesa, educação e saúde públicas e seguridade social"
110130,Mirante da Serra,21417.31,"Administração, defesa, educação e saúde públicas e seguridade social"
110140,Monte Negro,21300.12,"Administração, defesa, educação e saúde públicas e seguridade social"
110143,Nova União,18685.84,"Pecuária, inclusive apoio à pecuária"
110145,Parecis,19495.63,"Pecuária, inclusive apoio à pecuária"
110146,Pimenteiras do Oeste,69296.61,"Agricultura, inclusive apoio à agricultura e a pós colheita"
110147,Primavera de Rondônia,23949.2,"Administração, defesa, educação e saúde públicas e seguridade social"
110148,São Felipe D'Oeste,20192.81,"Administração, defesa, educação e saúde públicas e seguridade social"
110149,São Francisco do Guaporé,19234.6,"Pecuária, inclusive apoio à pecuária"
