ibge,municipio,perc_20_59_anos,perc_idosa,perc_masculino,perc_feminino
432235,UNIAO DA SERRA,"0,466789668","0,39298893","0,541512915","0,458487085"
430583,COQUEIRO BAIXO,"0,520134228","0,367114094","0,542281879","0,457718121"
430593,CORONEL PILAR,"0,498751561","0,347066167","0,526217228","0,473782772"
430925,GUABIJU,"0,51285521","0,343707713","0,51691475","0,48308525"
431725,SANTA TEREZA,"0,509291521","0,343205575","0,516840883","0,483159117"
431500,PORTO LUCENA,"0,525254763","0,339831635","0,504652193","0,495347807"
431507,PORTO VERA CRUZ,"0,519872814","0,339427663","0,480922099","0,519077901"
431545,RELVADO,"0,492746615","0,338974855","0,508704062","0,491295938"
430045,ALEGRIA,"0,51110435","0,334955887","0,490721022","0,509278978"
431235,MONTAURI,"0,517482517","0,334265734","0,513286713","0,486713287"
430030,ALECRIM,"0,515236427","0,334150613","0,499824869","0,500175131"
432285,VESPASIANO CORREA,"0,497184685","0,332207207","0,504504505","0,495495495"
431505,PORTO MAUA,"0,51329331","0,330617496","0,503001715","0,496998285"
430843,FORQUETINHA,"0,537044789","0,329426538","0,519464211","0,480535789"
432163,TRES ARROIOS,"0,530916031","0,327480916","0,490839695","0,509160305"
431843,SAO JOAO DO POLESINE,"0,508481262","0,326232742","0,465877712","0,534122288"
431970,SAO VALENTIM,"0,518322981","0,324223602","0,496583851","0,503416149"
432230,TUPARENDI,"0,532082794","0,323673997","0,478783959","0,521216041"
430192,BARRA DO RIO AZUL,"0,528685996","0,322023442","0,516964837","0,483035163"
431308,NOVA PADUA,"0,497463909","0,321888412","0,508388607","0,491611393"
432162,TRAVESSEIRO,"0,522951523","0,32003432","0,501072501","0,498927499"
431238,MONTE BELO DO SUL,"0,531026253","0,319411297","0,503579952","0,496420048"
430595,COTIPORA,"0,549947699","0,317730126","0,529811715","0,470188285"
430370,CAMPINA DAS MISSOES,"0,535211268","0,315868545","0,49915493","0,50084507"
354720,SANTANA DA PONTE PENSA,"0,532458564","0,315607735","0,523480663","0,476519337"
430258,BOZANO,"0,488804192","0,314911863","0,48737494","0,51262506"
430673,DOUTOR MAURICIO CARDOSO,"0,529680365","0,313926941","0,499086758","0,500913242"
431478,PONTE PRETA,"0,528314457","0,311792139","0,526982012","0,473017988"
431295,NOVA BOA VISTA,"0,536106297","0,311380705","0,485846332","0,514153668"
430635,DEZESSEIS DE NOVEMBRO,"0,527670528","0,31016731","0,507507508","0,492492492"
430825,FLORIANO PEIXOTO,"0,551199532","0,310122879","0,544177882","0,455822118"
430558,COLINAS,"0,517437145","0,309002433","0,49594485","0,50405515"
421260,PERITIBA,"0,52542993","0,308818149","0,501646542","0,498353458"
430783,EUGENIO DE CASTRO,"0,522943723","0,308658009","0,512554113","0,487445887"
431127,LAGOA DOS TRES CANTOS,"0,53553616","0,308603491","0,480049875","0,519950125"
431455,PIRAPO,"0,530612245","0,308390023","0,495238095","0,504761905"
431070,ITATIBA DO SUL,"0,524339803","0,307986001","0,519567292","0,480432708"
430225,BOA VISTA DO SUL,"0,552109629","0,306887847","0,535881717","0,464118283"
431620,RONDINHA,"0,520365587","0,30578184","0,491953109","0,508046891"
432290,VIADUTOS,"0,540406223","0,304019015","0,496110631","0,503889369"
431842,SAO JOAO DA URTIGA,"0,534054054","0,303783784","0,511351351","0,488648649"
432065,SILVEIRA MARTINS,"0,496828753","0,302748414","0,493446089","0,506553911"
430150,AUGUSTO PESTANA,"0,528647823","0,302062643","0,485867074","0,514132926"
431849,SAO JOSE DO INHACORA,"0,534313725","0,301470588","0,515686275","0,484313725"
431805,SAO DOMINGOS DO SUL,"0,520219994","0,299902944","0,502749919","0,497250081"
430090,ARATIBA,"0,555248169","0,299430431","0,505614321","0,494385679"
432375,VITORIA DAS MISSOES,"0,514416776","0,2991481","0,5","0,5"
431971,SAO VALENTIM DO SUL,"0,541370107","0,298932384","0,49866548","0,50133452"
431300,NOVA BRESCIA,"0,552466368","0,298654709","0,508819133","0,491180867"
430980,IBIACA,"0,540724947","0,298507463","0,492537313","0,507462687"
432210,TUCUNDUVA,"0,528866714","0,298467569","0,472380613","0,527619387"
431342,NOVO MACHADO,"0,526480727","0,298025697","0,495769351","0,504230649"
430560,COLORADO,"0,531088083","0,296955959","0,485103627","0,514896373"
431075,IVORA,"0,507011866","0,295577131","0,496763754","0,503236246"
432147,TIRADENTES DO SUL,"0,503253796","0,295553145","0,504519161","0,495480839"
430585,COQUEIROS DO SUL,"0,531980591","0,29466255","0,516100573","0,483899427"
431555,RIO DOS INDIOS,"0,524698561","0,294437962","0,513807857","0,486192143"
431360,PAIM FILHO,"0,525060306","0,294291075","0,488072903","0,511927097"
430380,CAMPINAS DO SUL,"0,531353744","0,293987459","0,486167466","0,513832534"
420205,BALNEARIO BARRA DO SUL,"0,502351167","0,293052968","0,483098217","0,516901783"
430745,ESPERANCA DO SUL,"0,524947294","0,293042867","0,500702741","0,499297259"
431930,SAO PAULO DAS MISSOES,"0,534488857","0,292889989","0,508312699","0,491687301"
355530,TURMALINA,"0,558488302","0,292741452","0,49910018","0,50089982"
350060,AGUAS DE SAO PEDRO,"0,535117057","0,29180602","0,477146042","0,522853958"
430511,CENTENARIO,"0,539267016","0,291797557","0,519720768","0,480279232"
310310,ANTONIO PRADO DE MINAS,"0,544705136","0,291693088","0,523145212","0,476854788"
430695,ENTRE RIOS DO SUL,"0,507709251","0,291116006","0,511013216","0,488986784"
431910,SAO MARTINHO,"0,532233883","0,290854573","0,485569715","0,514430285"
431090,JACUTINGA,"0,531710079","0,290770102","0,489241223","0,510758777"
431454,PINTO BANDEIRA,"0,524119948","0,290091265","0,512059974","0,487940026"
351590,FLOREAL,"0,566574202","0,289528433","0,495839112","0,504160888"
430587,CORONEL BARROS,"0,521618405","0,288774296","0,492264974","0,507735026"
310570,BARRA LONGA,"0,522528033","0,288685015","0,485219164","0,514780836"
351580,FLORA RICA,"0,544022906","0,288475304","0,511095204","0,488904796"
430840,FORMIGUEIRO,"0,511341148","0,288019485","0,507535394","0,492464606"
354930,SAO JOAO DO PAU D'ALHO,"0,534128878","0,287828162","0,513603819","0,486396181"
432060,SEVERIANO DE ALMEIDA,"0,537565844","0,287773773","0,510119213","0,489880787"
431217,MATO QUEIMADO,"0,502172564","0,287399131","0,497206704","0,502793296"
430070,ANTA GORDA,"0,540818044","0,286483757","0,498232621","0,501767379"
431520,PUTINGA,"0,541569542","0,285936286","0,504532505","0,495467495"
431205,MARQUES DE SOUZA,"0,527756845","0,285355438","0,499874403","0,500125597"
316580,SENADOR JOSE BENTO,"0,55625879","0,284810127","0,524613221","0,475386779"
432149,TOROPI,"0,542680712","0,28405376","0,525971667","0,474028333"
431795,SANTO EXPEDITO DO SUL,"0,529077394","0,283777875","0,522518583","0,477481417"
430870,GAURAMA,"0,542684046","0,283275197","0,481182302","0,518817698"
431040,INDEPENDENCIA,"0,517013545","0,283118599","0,495870499","0,504129501"
431260,MUCUM,"0,521642843","0,282665593","0,483189048","0,516810952"
430500,CATUIPE,"0,526937782","0,282354304","0,489977986","0,510022014"
431517,PROTASIO ALVES,"0,552617937","0,282011405","0,535510627","0,464489373"
311990,CORREGO DO BOM JESUS,"0,53568521","0,281953867","0,511533243","0,488466757"
431673,SANTA CECILIA DO SUL,"0,54601227","0,281595092","0,496932515","0,503067485"
431110,JAGUARI,"0,555222763","0,281542493","0,509453388","0,490546612"
421310,PIRATUBA,"0,485565026","0,280450921","0,433049216","0,566950784"
431190,MARCELINO RAMOS,"0,532436895","0,280254777","0,492097193","0,507902807"
520260,AURILANDIA,"0,552","0,28","0,504666667","0,495333333"
430340,CAICARA,"0,538527581","0,27967375","0,507405023","0,492594977"
431030,ILOPOLIS,"0,542180562","0,27947706","0,504440059","0,495559941"
431643,SALDANHA MARINHO,"0,550847458","0,278890601","0,473805855","0,526194145"
430645,DOIS LAJEADOS,"0,557184751","0,278592375","0,507917889","0,492082111"
431046,IPIRANGA DO SUL,"0,562266168","0,278460716","0,505611972","0,494388028"
353284,NOVA CANAA PAULISTA,"0,559758772","0,277412281","0,514802632","0,485197368"
354740,SANTA RITA D'OESTE,"0,561389338","0,277059774","0,494345719","0,505654281"
314660,PAIVA,"0,564271589","0,276862228","0,487145682","0,512854318"
430950,GUARANI DAS MISSOES,"0,540240768","0,276748275","0,480048695","0,519951305"
291860,JUSSIAPE,"0,501990653","0,27661416","0,474121516","0,525878484"
431647,SALVADOR DAS MISSOES,"0,583394294","0,276517922","0,525969276","0,474030724"
432050,SERTAO,"0,549425287","0,276436782","0,479310345","0,520689655"
430155,AUREA,"0,547057151","0,276087575","0,491896503","0,508103497"
420075,ALTO BELA VISTA,"0,533159269","0,275718016","0,501827676","0,498172324"
431200,MARIANO MORO,"0,550578762","0,275289381","0,514343231","0,485656769"
312270,DOM SILVERIO,"0,549837383","0,274727377","0,482303425","0,517696575"
430055,ALTO ALEGRE,"0,537106918","0,274213836","0,517610063","0,482389937"
431220,MAXIMILIANO DE ALMEIDA,"0,534085567","0,274094969","0,501880583","0,498119417"
431595,ROLADOR,"0,542290749","0,274008811","0,515418502","0,484581498"
430545,CIDREIRA,"0,509261999","0,273717228","0,479256673","0,520743327"
430330,CAIBATE,"0,545397751","0,273427738","0,516034985","0,483965015"
430430,CANDIDO GODOI,"0,547166721","0,273173927","0,506059613","0,493940387"
430410,CAMPOS BORGES,"0,533007335","0,272616137","0,501528117","0,498471883"
431700,SANTANA DA BOA VISTA,"0,515242006","0,272489735","0,504168222","0,495831778"
430655,DOM PEDRO DE ALCANTARA,"0,563492063","0,271428571","0,523015873","0,476984127"
431513,POUSO NOVO,"0,536569987","0,27112232","0,501891551","0,498108449"
430050,ALPESTRE,"0,543415463","0,271028037","0,511979609","0,488020391"
431535,QUINZE DE NOVEMBRO,"0,507611549","0,270866142","0,489501312","0,510498688"
430163,BALNEARIO PINHAL,"0,498668488","0,270262888","0,487470126","0,512529874"
430461,CANUDOS DO VALE,"0,579444773","0,269344359","0,540460721","0,459539279"
432360,VISTA ALEGRE DO PRATA,"0,553766903","0,268512556","0,520283323","0,479716677"
431475,POCO DAS ANTAS,"0,53064133","0,268408551","0,496437055","0,503562945"
432045,SERIO,"0,571201694","0,268395977","0,522498677","0,477501323"
430047,ALMIRANTE TAMANDARE DO SUL,"0,536434109","0,268217054","0,49870801","0,50129199"
411342,LIDIANOPOLIS,"0,527099842","0,2681458","0,486846276","0,513153724"
431413,PAULO BENTO,"0,531914894","0,26791142","0,506296135","0,493703865"
353450,OSCAR BRESSANE,"0,524010757","0,26776796","0,469842489","0,530157511"
431036,IMIGRANTE,"0,528520786","0,267483081","0,483725427","0,516274573"
430600,CRISSIUMAL,"0,533046952","0,267314794","0,492501319","0,507498681"
430970,HUMAITA,"0,53565365","0,266765705","0,484083192","0,515916808"
432057,SETE DE SETEMBRO,"0,539616779","0,266183325","0,501294666","0,498705334"
430786,FAGUNDES VARELA,"0,539272727","0,266181818","0,508727273","0,491272727"
431844,SAO JORGE,"0,536324786","0,266025641","0,503561254","0,496438746"
431245,MORRO REDONDO,"0,541231654","0,266000908","0,502496596","0,497503404"
430675,DOUTOR RICARDO,"0,558718861","0,265887138","0,501270971","0,498729029"
430613,CRUZALTENSE,"0,564872521","0,26572238","0,510481586","0,489518414"
431198,MARIANA PIMENTEL,"0,530318602","0,265416238","0,5172148","0,4827852"
350080,ALFREDO MARCONDES,"0,5462985","0,265174958","0,516305642","0,483694358"
315030,PIEDADE DO RIO GRANDE,"0,553877367","0,26465284","0,49458972","0,50541028"
310700,BIQUINHAS,"0,569701853","0,264302981","0,500402901","0,499597099"
350260,APARECIDA D'OESTE,"0,546821931","0,26419214","0,492479379","0,507520621"
410820,FORMOSA DO OESTE,"0,561386919","0,264144996","0,498660362","0,501339638"
411600,MIRASELVA,"0,538073908","0,263717805","0,493281075","0,506718925"
432330,VILA FLORES,"0,570883475","0,263281479","0,501027297","0,498972703"
350120,ALVARES FLORENCE,"0,57079646","0,263274336","0,512168142","0,487831858"
430265,BROCHIER,"0,53858145","0,263250195","0,515003897","0,484996103"
420760,IPIRA,"0,533089077","0,263109686","0,493702771","0,506297229"
432135,TAVARES,"0,528628738","0,262946754","0,51750547","0,48249453"
430900,GIRUA,"0,535316931","0,262254434","0,494055566","0,505944434"
310330,ARACITABA,"0,562743191","0,261673152","0,508754864","0,491245136"
314640,PAINEIRAS,"0,56509009","0,261486486","0,502927928","0,497072072"
431365,PALMARES DO SUL,"0,532181273","0,261153236","0,483953447","0,516046553"
314880,PEDRA DO ANTA,"0,544932432","0,261148649","0,496283784","0,503716216"
430693,ENTRE-IJUIS,"0,526826347","0,260838323","0,497125749","0,502874251"
430085,ARAMBARE,"0,534424379","0,260722348","0,493792325","0,506207675"
431845,SAO JOSE DAS MISSOES,"0,537133681","0,260537937","0,510638298","0,489361702"
431912,SAO MARTINHO DA SERRA,"0,535315985","0,260223048","0,504956629","0,495043371"
316556,SEM-PEIXE,"0,561457929","0,260178364","0,499418379","0,500581621"
421055,MAREMA,"0,585437463","0,260129184","0,514386377","0,485613623"
430720,ERVAL GRANDE,"0,538075314","0,260041841","0,506066946","0,493933054"
432335,VILA LANGARO,"0,563768116","0,259903382","0,523188406","0,476811594"
354450,RUBINEIA,"0,55437167","0,259479787","0,505170793","0,494829207"
430237,BOM PROGRESSO,"0,550053821","0,25941873","0,507534984","0,492465016"
352070,INDIAPORA,"0,548245614","0,259287926","0,486584107","0,513415893"
430485,CARLOS GOMES,"0,588545592","0,259231349","0,511680482","0,488319518"
353000,MIRA ESTRELA,"0,52896","0,2592","0,48512","0,51488"
411310,KALORE,"0,55005005","0,258758759","0,499499499","0,500500501"
353380,OLEO,"0,529628116","0,258684103","0,499795668","0,500204332"
430550,CIRIACO,"0,549968038","0,258256978","0,510121457","0,489878543"
431920,SAO NICOLAU,"0,537550941","0,258102076","0,504366389","0,495633611"
312910,GURINHATA,"0,550036258","0,257795504","0,52284264","0,47715736"
312520,FAMA,"0,552232519","0,257792755","0,49073294","0,50926706"
420920,LACERDOPOLIS,"0,545373665","0,257562278","0,491103203","0,508896797"
421795,TIGRINHOS,"0,561643836","0,257160648","0,508094645","0,491905355"
431160,LIBERATO SALZANO,"0,545311579","0,256732848","0,514252015","0,485747985"
354010,PONGAI,"0,558345643","0,256720827","0,515509601","0,484490399"
430530,CHAPADA,"0,562262512","0,256541092","0,489523396","0,510476604"
353625,PARISI,"0,53330271","0,256316031","0,515388149","0,484611851"
421390,PRESIDENTE CASTELLO BRANCO,"0,579947575","0,256225426","0,50327654","0,49672346"
315380,QUELUZITO,"0,573921971","0,256160164","0,520533881","0,479466119"
431810,SAO FRANCISCO DE ASSIS,"0,541286433","0,256125214","0,496819866","0,503180134"
310810,BONFIM,"0,566695855","0,255983654","0,495183888","0,504816112"
431940,SAO PEDRO DO SUL,"0,539751553","0,255962733","0,492670807","0,507329193"
311560,CEDRO DO ABAETE,"0,543478261","0,255652174","0,514782609","0,485217391"
315290,PRATAPOLIS,"0,540797186","0,255568581","0,503165299","0,496834701"
315840,SANTANA DE CATAGUASES,"0,52647736","0,255564083","0,494244052","0,505755948"
431179,MARATA,"0,584961297","0,255436786","0,506450424","0,493549576"
421003,LUZERNA,"0,568361781","0,255322893","0,48706669","0,51293331"
431770,SANTO ANTONIO DAS MISSOES,"0,515005035","0,255186304","0,491238671","0,508761329"
432132,TAQUARUCU DO SUL,"0,542356378","0,255111977","0,520934761","0,479065239"
420720,IMARUI,"0,547111839","0,255018435","0,499590332","0,500409668"
