iter	Passed	Remaining
0	158	158396
1	170	85244
2	182	60717
3	195	48606
4	202	40315
5	210	34794
6	223	31737
7	239	29702
8	247	27254
9	252	24987
10	265	23888
11	277	22837
12	286	21756
13	299	21102
14	314	20652
15	329	20234
16	340	19700
17	351	19172
18	357	18443
19	365	17891
20	378	17627
21	392	17449
22	397	16874
23	405	16496
24	412	16100
25	428	16044
26	441	15914
27	450	15639
28	460	15422
29	475	15361
30	488	15276
31	493	14935
32	505	14808
33	514	14605
34	528	14562
35	540	14468
36	556	14488
37	561	14214
38	578	14244
39	586	14072
40	598	13995
41	609	13895
42	612	13630
43	624	13560
44	639	13567
45	650	13491
46	668	13551
47	683	13550
48	696	13512
49	707	13448
50	715	13317
51	728	13282
52	739	13218
53	751	13172
54	764	13132
55	776	13086
56	789	13067
57	801	13014
58	818	13051
59	830	13018
60	842	12973
61	854	12921
62	864	12864
63	878	12849
64	893	12853
65	902	12777
66	907	12636
67	918	12589
68	930	12556
69	948	12604
70	959	12557
71	965	12443
72	978	12427
73	993	12432
74	1005	12396
75	1018	12388
76	1031	12361
77	1043	12340
78	1054	12293
79	1062	12214
80	1072	12168
81	1078	12079
82	1083	11975
83	1097	11967
84	1115	12011
85	1139	12106
86	1155	12123
87	1166	12090
88	1174	12023
89	1183	11970
90	1196	11952
91	1209	11941
92	1220	11903
93	1232	11874
94	1240	11822
95	1251	11785
96	1259	11729
97	1270	11697
98	1282	11674
99	1294	11652
100	1306	11629
101	1310	11533
102	1320	11503
103	1332	11480
104	1344	11459
105	1351	11401
106	1366	11400
107	1381	11406
108	1396	11415
109	1405	11369
110	1419	11369
111	1437	11400
112	1444	11336
113	1458	11338
114	1470	11316
115	1483	11304
116	1490	11252
117	1497	11190
118	1508	11167
119	1513	11097
120	1524	11073
121	1535	11053
122	1549	11046
123	1554	10978
124	1564	10949
125	1576	10936
126	1585	10896
127	1600	10905
128	1619	10937
129	1632	10927
130	1645	10918
131	1656	10894
132	1668	10878
133	1679	10855
134	1693	10852
135	1705	10836
136	1720	10836
137	1732	10820
138	1742	10795
139	1756	10787
140	1766	10759
141	1776	10731
142	1785	10697
143	1798	10691
144	1812	10685
145	1823	10664
146	1834	10646
147	1841	10599
148	1850	10569
149	1856	10522
150	1870	10517
151	1887	10528
152	1897	10503
153	1909	10488
154	1920	10468
155	1932	10452
156	1941	10423
157	1955	10419
158	1965	10393
159	1973	10360
160	1988	10360
161	1994	10315
162	2006	10302
163	2014	10268
164	2029	10269
165	2037	102166166	2051	10233
167	2062	10213
168	2073	10193
169	2083	10170
170	2096	10166
171	2108	10150
172	2120	10135
173	2132	10124
174	2143	10104
175	2158	10103
176	2162	10053
177	2168	100178178	2174	99717179	2185	99551180	2191	9916
181	2207	9921
182	2220	9914
183	2232	9900
184184	2328	10185	185	2341	1186	2186	2350	10217
187	2362	10201
188	2375	10192
189	23190	2315	190	2399	10161
191	2412	10153
192	2425	10141
193	2438	10129
194	2450	10117
195	2456	100751196	2466	1005198	2407	9691
199198	2487	10200	199	2498	9201	200	2511	9202	201	2523	9203	2459	9596
204	2472	9590
205	2488	9591
206	2504	9594
207	2519	9592
208	2535	9594
209	2545	9575
210	2548	9530
211	2561	9521
212	2574	9513
213	2587	9502
214	2600	9494
215	2613	9485
216	2627	9480
217	2638	9463
218	2650	9451
219	2661	9435
220	2671	9418
221	2681	9397
222	2695	9390
223	222	2778	9224	223	2790	9225	224	2810	9226	225	2826	9679
226	2841	9677
227	2854	9665
228	2864	9643
229	2873	9619
230	2883	9599
231	2892	9573
232	2907	9570
233	2919	9555
234	2934	9236	235	2951	9553
236	2963	9539
237	2972	9517
238	2986	9509
239	3000	9501
240	3013	9490
241	3025	9476
