"","sexo","codmunocor","causabas","n","cod_cat","categoria","subcategoria","ipea","municipio","total","uf_codigo","taxa_incidencia"
"1","Masculino","520005","V134",1,"V13","Ciclista traumatizado em colisão com um automóvel, ""pick up"" ou caminhonete","Ciclista traumatizado em colisão com um automóvel, ""pick up"" ou caminhonete - condutor traumatizado em um acidente de trânsito","Acidentes de transporte","Abadia de Goiás",4143,"52",0.000241370987207338
"2","Masculino","520005","V244",1,"V24","Motociclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus","Motociclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus - condutor traumatizado em um acidente de trânsito","Acidentes de transporte","Abadia de Goiás",4143,"52",0.000241370987207338
"3","Masculino","520005","V274",1,"V27","Motociclista traumatizado em colisão com um objeto fixo ou parado","Motociclista traumatizado em colisão com um objeto fixo ou parado - condutor traumatizado em um acidente de trânsito","Acidentes de transporte","Abadia de Goiás",4143,"52",0.000241370987207338
"4","Masculino","520005","V284",1,"V28","Motociclista traumatizado em um acidente de transporte sem colisão","Motociclista traumatizado em um acidente de transporte sem colisão - condutor traumatizado em um acidente de trânsito","Acidentes de transporte","Abadia de Goiás",4143,"52",0.000241370987207338
"5","Masculino","520005","X680",1,"X68","Auto-intoxicação por e exposição, intencional, a pesticidas","Auto-intoxicação por e exposição, intencional, a pesticidas - residência","Lesões autoprovocadas intencionalmente","Abadia de Goiás",4143,"52",0.000241370987207338
"6","Masculino","520005","X689",1,"X68","Auto-intoxicação por e exposição, intencional, a pesticidas","Auto-intoxicação por e exposição, intencional, a pesticidas - local não especificado","Lesões autoprovocadas intencionalmente","Abadia de Goiás",4143,"52",0.000241370987207338
"7","Masculino","520005","X690",1,"X69","Auto-intoxicação por e exposição, intencional, a outros produtos químicos e substâncias nocivas não especificadas","Auto-intoxicação por e exposição, intencional, a outros produtos químicos e substâncias nocivas não especificadas - residência","Lesões autoprovocadas intencionalmente","Abadia de Goiás",4143,"52",0.000241370987207338
"8","Masculino","520005","X709",1,"X70","Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação","Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação - local não especificado","Lesões autoprovocadas intencionalmente","Abadia de Goiás",4143,"52",0.000241370987207338
"9","Masculino","520005","X918",1,"X91","Agressão por meio de enforcamento, estrangulamento e sufocação","Agressão por meio de enforcamento, estrangulamento e sufocação - outros locais especificados","Agressões","Abadia de Goiás",4143,"52",0.000241370987207338
"10","Masculino","520005","X954",9,"X95","Agressão por meio de disparo de outra arma de fogo ou de arma não especificada","Agressão por meio de disparo de outra arma de fogo ou de arma não especificada - rua e estrada","Agressões","Abadia de Goiás",4143,"52",0.00217233888486604
"11","Masculino","520005","X957",1,"X95","Agressão por meio de disparo de outra arma de fogo ou de arma não especificada","Agressão por meio de disparo de outra arma de fogo ou de arma não especificada - fazenda","Agressões","Abadia de Goiás",4143,"52",0.000241370987207338
"12","Masculino","520005","X958",2,"X95","Agressão por meio de disparo de outra arma de fogo ou de arma não especificada","Agressão por meio de disparo de outra arma de fogo ou de arma não especificada - outros locais especificados","Agressões","Abadia de Goiás",4143,"52",0.000482741974414675
"13","Masculino","520005","X959",1,"X95","Agressão por meio de disparo de outra arma de fogo ou de arma não especificada","Agressão por meio de disparo de outra arma de fogo ou de arma não especificada - local não especificado","Agressões","Abadia de Goiás",4143,"52",0.000241370987207338
"14","Masculino","520005","X997",1,"X99","Agressão por meio de objeto cortante ou penetrante","Agressão por meio de objeto cortante ou penetrante - fazenda","Agressões","Abadia de Goiás",4143,"52",0.000241370987207338
"15","Masculino","520005","Y350",1,"Y35","Intervenção legal","Intervenção legal envolvendo o uso de armas de fogo","Intervenções legais e operações de guerra","Abadia de Goiás",4143,"52",0.000241370987207338
"16","Masculino","520005","Y357",1,"Y35","Intervenção legal","Intervenção legal, meio não especificado","Intervenções legais e operações de guerra","Abadia de Goiás",4143,"52",0.000241370987207338
"17","Masculino","520010","V239",1,"V23","Motociclista traumatizado em colisão com um automóvel [carro], ""pick up"" ou caminhonete","Motociclista traumatizado em colisão com um automóvel [carro], ""pick up"" ou caminhonete - motociclista não especificado traumatizado em um acidente de trânsito","Acidentes de transporte","Abadiânia",10031,"52",9.96909580301067e-05
"18","Masculino","520010","V489",1,"V48","Ocupante de um automóvel [carro] traumatizado em um acidente de transporte sem colisão","Ocupante de um automóvel [carro] traumatizado em um acidente de transporte sem colisão - ocupante não especificado de um automóvel [carro] traumatizado em um acidente de trânsito","Acidentes de transporte","Abadiânia",10031,"52",9.96909580301067e-05
"19","Masculino","520010","V494",1,"V49","Ocupante de um automóvel [carro] traumatizado em outro acidentes de transporte e em acidentes de transporte não especificados","Condutor [motorista] traumatizado em colisão com outros veículos e com veículos não especificados, a motor, em um acidente de trânsito","Acidentes de transporte","Abadiânia",10031,"52",9.96909580301067e-05
