ibge;municipio;Masculino;Feminino
520005;Abadia de Goiás;4143;4440
520010;Abadiânia;10031;9583
520013;Acreúna;11307;10875
520015;Adelândia;1275;1242
520017;Água Fria de Goiás;2973;2703
520020;Água Limpa;979;893
520025;Águas Lindas de Goiás;103672;103398
520030;Alexânia;13810;13478
520050;Aloândia;1015;990
520055;Alto Horizonte;3203;3015
520060;Alto Paraíso de Goiás;3622;3936
520080;Alvorada do Norte;4405;4209
520082;Amaralina;1999;1779
520085;Americano do Brasil;3158;2899
520090;Amorinópolis;1606;1579
520110;Anápolis;186506;195464
520120;Anhanguera;578;559
520130;Anicuns;11168;10549
520140;Aparecida de Goiânia;278142;287815
520145;Aparecida do Rio Doce;1268;1206
520150;Aporé;2205;1958
520160;Araçu;1773;1787
520170;Aragarças;10022;9937
520180;Aragoiânia;5177;4939
520215;Araguapaz;3911;3845
520235;Arenópolis;1341;1348
520250;Aruanã;5006;4629
520260;Aurilândia;1605;1579
520280;Avelinópolis;1214;1211
520310;Baliza;2761;2231
520320;Barro Alto;5804;5118
520330;Bela Vista de Goiás;15019;14429
520340;Bom Jardim de Goiás;4462;4351
520350;Bom Jesus de Goiás;12999;11777
520355;Bonfinópolis;4657;4831
520357;Bonópolis;2243;2073
520360;Brazabrantes;1844;1815
520380;Britânia;2934;2827
520390;Buriti Alegre;4724;4709
520393;Buriti de Goiás;1272;1229
520396;Buritinópolis;1695;1607
520400;Cabeceiras;4012;3927
520410;Cachoeira Alta;6860;5437
520420;Cachoeira de Goiás;704;657
520425;Cachoeira Dourada;4044;4058
520430;Caçu;8601;7142
520440;Caiapônia;9583;9132
520450;Caldas Novas;43842;45245
520455;Caldazinha;1863;1896
520460;Campestre de Goiás;1841;1769
520465;Campinaçu;1899;1750
520470;Campinorte;6413;6073
520480;Campo Alegre de Goiás;3815;3622
520485;Campo Limpo de Goiás;3833;3803
520490;Campos Belos;9718;10046
520495;Campos Verdes;1239;1220
520500;Carmo do Rio Verde;5088;4888
520505;Castelândia;1815;1649
520510;Catalão;53728;52890
520520;Caturaí;2573;2465
520530;Cavalcante;5042;4651
520540;Ceres;10726;11348
520545;Cezarina;4307;4200
520547;Chapadão do Céu;5194;4648
520549;Cidade Ocidental;34199;35630
520551;Cocalzinho de Goiás;10235;9736
520552;Colinas do Sul;1752;1652
520570;Córrego do Ouro;1199;1165
520580;Corumbá de Goiás;5828;5222
520590;Corumbaíba;4983;4591
520620;Cristalina;29637;28122
520630;Cristianópolis;1516;1452
520640;Crixás;8771;8081
520650;Cromínia;1749;1751
520660;Cumari;1469;1402
520670;Damianópolis;1720;1595
520680;Damolândia;1422;1501
520690;Davinópolis;1106;988
520710;Diorama;1244;1244
520830;Divinópolis de Goiás;2491;2339
520725;Doverlândia;3876;3522
520735;Edealina;1918;1792
520740;Edéia;6309;5967
520750;Estrela do Norte;1723;1563
520753;Faina;3468;3210
520760;Fazenda Nova;2896;2826
520780;Firminópolis;6431;6700
520790;Flores de Goiás;9018;7082
520800;Formosa;59709;59797
520810;Formoso;2196;2129
520815;Gameleira de Goiás;1953;1800
